lam_um,f_THz,side,n1,n2,kz_rad_per_um,Re_S_TE,Im_S_TE,Re_S_TM,Im_S_TM,power
29.9792458,10,trans,0,0,0.2095845022,-6.064824816e-15,-4.011418256e-15,0.7504920373,0.3652276287,0.6966295188
29.9792458,10,refl,0,0,0.2095845022,-6.094871038e-15,-3.675983942e-15,-0.2524260965,0.383422101,0.2107314417
29.24804468,10.25,trans,0,0,0.2148241148,-7.161994048e-15,-3.475559312e-15,0.7198586293,0.3811095138,0.6634409078
29.24804468,10.25,refl,0,0,0.2148241148,-7.116323505e-15,-3.079369872e-15,-0.2821396614,0.3985606062,0.2384533454
28.55166267,10.5,trans,0,0,0.2200637273,-7.718684456e-15,-2.846532522e-15,0.6945754807,0.3952101815,0.6386261859
28.55166267,10.5,refl,0,0,0.2200637273,-7.597794655e-15,-2.5427818e-15,-0.306617694,0.4118677724,0.2636494722
27.88767051,10.75,trans,0,0,0.2253033399,-8.326321718e-15,-2.238108488e-15,0.6743835504,0.4079105017,0.6211841504
27.88767051,10.75,refl,0,0,0.2253033399,-8.168631207e-15,-1.926305729e-15,-0.326174422,0.4237379959,0.2859436427
27.25385982,11,trans,0,0,0.2305429524,-8.681921728e-15,-1.770745028e-15,0.6587859979,0.4195570688,0.610027125
27.25385982,11,refl,0,0,0.2305429524,-8.559754343e-15,-1.550458336e-15,-0.3413033051,0.4345572686,0.3053279658
26.64821849,11.25,trans,0,0,0.235782565,-8.906520762e-15,-8.311397607e-16,0.6315513744,0.4302826394,0.5840002883
26.64821849,11.25,refl,0,0,0.235782565,-8.692265901e-15,-5.596510236e-16,-0.367204616,0.4403343694,0.3287335868
26.06890939,11.5,trans,0,0,0.2410221775,-9.270426513e-15,-2.708079583e-16,0.6102506413,0.440955599,0.5668476854
26.06890939,11.5,refl,0,0,0.2410221775,-9.021042663e-15,3.041367535e-17,-0.387446042,0.4462081624,0.3492161597
25.51425174,11.75,trans,0,0,0.2462617901,-9.344508023e-15,3.77014377e-16,0.593986136,0.4517617718,0.5569082283
25.51425174,11.75,refl,0,0,0.2462617901,-9.053406042e-15,6.669572346e-16,-0.4028859175,0.4524564634,0.3670339138
24.98270483,12,trans,0,0,0.2515014026,-9.325089683e-15,8.215442677e-16,0.5819602069,0.4627418928,0.5528077417
24.98270483,12,refl,0,0,0.2515014026,-8.980613086e-15,1.09683835e-15,-0.4142883031,0.459172128,0.3824738413
24.47285371,12.25,trans,0,0,0.2567410152,-9.541071456e-15,6.468978142e-16,0.5610320339,0.4627538454,0.5288980645
24.47285371,12.25,refl,0,0,0.2567410152,-8.987506345e-15,9.627438362e-16,-0.4334861373,0.4539461507,0.393977339
23.98339664,12.5,trans,0,0,0.2619806277,-9.160298639e-15,6.654806631e-16,0.5444442785,0.4663115236,0.5138660094
23.98339664,12.5,refl,0,0,0.2619806277,-8.534361775e-15,1.05535702e-15,-0.4485283904,0.4526201767,0.4060427413
23.51313396,12.75,trans,0,0,0.2672202403,-8.626015169e-15,9.797282952e-16,0.5313589246,0.4725944366,0.5056878082
23.51313396,12.75,refl,0,0,0.2672202403,-7.931964093e-15,1.312280231e-15,-0.4602611627,0.4543862533,0.418307205
23.06095831,13,trans,0,0,0.2724598529,-8.111608092e-15,6.125510488e-16,0.5211739008,0.4809686939,0.5029531194
23.06095831,13,refl,0,0,0.2724598529,-7.367139391e-15,9.819033692e-16,-0.4692794685,0.4586060119,0.4305426937
22.62584589,13.25,trans,0,0,0.2776994654,-8.050218765e-15,-1.955746601e-16,0.4984992364,0.4691043132,0.4685603454
22.62584589,13.25,refl,0,0,0.2776994654,-7.143655008e-15,1.006209663e-16,-0.4908849814,0.4491732561,0.442724679
22.20684874,13.5,trans,0,0,0.282939078,-7.338389565e-15,-7.837312871e-16,0.4783759265,0.4630496029,0.4432584618
22.20684874,13.5,refl,0,0,0.282939078,-6.370423323e-15,-4.873680318e-16,-0.5101246263,0.4453839293,0.4585939789
21.80308785,13.75,trans,0,0,0.2881786905,-6.553594861e-15,-1.506759702e-15,0.4603839855,0.4616687514,0.4250914502
21.80308785,13.75,refl,0,0,0.2881786905,-5.511819411e-15,-1.240172302e-15,-0.5273667695,0.4461035841,0.4771241174
21.413747,14,trans,0,0,0.2934183031,-6.157937234e-15,-2.176929964e-15,0.4442386492,0.4641189536,0.4127543805
