lam_um,f_THz,lmax,cond,solve_residual,eta_spread,Re_S11,Im_S11,Re_S21,Im_S21,absS11,absS21,absS11_cross,absS21_cross,R,T,A,n_open_orders,R_higher_orders,T_higher_orders,absS11_uncoupled,absS21_uncoupled,sigma_ext_um2,sigma_sca_um2,sigma_abs_um2
29.9792458,10,3,105.5049467,1.513766057e-15,1.825113405e-14,-0.2524260965,0.383422101,0.7504920373,0.3652276287,0.4590549441,0.8346433483,7.1176057e-15,7.271421902e-15,0.2107314417,0.6966295188,0.09263903943,1,0,0,0.583027494,1.055563978,54.56293663,49.28154187,5.281394764
29.24804468,10.25,3,109.9799853,9.128991657e-16,5.973030247e-15,-0.2821396614,0.3985606062,0.7198586293,0.3811095138,0.4883168493,0.8145188198,7.754004065e-15,7.96075821e-15,0.2384533454,0.6634409078,0.09810574688,1,0,0,0.6220226122,1.055826486,65.96023725,58.35056158,7.609675672
28.55166267,10.5,3,113.4538534,1.308865294e-15,7.520836994e-14,-0.306617694,0.4118677724,0.6945754807,0.3952101815,0.5134680829,0.7991409049,8.012004924e-15,8.226836399e-15,0.2636494722,0.6386261859,0.09772434191,1,0,0,0.6569918852,1.057153733,76.22314003,67.79405607,8.429083964
27.88767051,10.75,3,113.9309411,1.113396207e-15,2.39405228e-14,-0.326174422,0.4237379959,0.6743835504,0.4079105017,0.5347369846,0.788152365,8.392686671e-15,8.621876997e-15,0.2859436427,0.6211841504,0.09287220689,1,0,0,0.6882863205,1.059158652,85.47110828,77.53095169,7.940156595
27.25385982,11,3,112.6059155,1.166041683e-15,7.34867509e-15,-0.3413033051,0.4345572686,0.6587859979,0.4195570688,0.5525648974,0.7810423324,8.699041066e-15,8.860660406e-15,0.3053279658,0.610027125,0.0846449092,1,0,0,0.7162428926,1.061551234,93.80916292,87.49242681,6.316736107
26.64821849,11.25,3,118.8695956,1.137008374e-15,2.691307231e-13,-0.367204616,0.4403343694,0.6315513744,0.4302826394,0.5733529339,0.7641991156,8.710263817e-15,8.945216899e-15,0.3287335868,0.5840002883,0.08726612486,1,0,0,0.7563401694,1.056261347,112.8978017,102.4815091,10.41629261
26.06890939,11.5,3,124.9009778,1.519883399e-15,8.003660421e-14,-0.387446042,0.4462081624,0.6102506413,0.440955599,0.590945141,0.7528928778,9.021093931e-15,9.274381094e-15,0.3492161597,0.5668476854,0.08393615491,1,0,0,0.7931619305,1.053230771,130.2559346,118.2467478,12.00918682
25.51425174,11.75,3,130.5474394,1.099753584e-15,2.295091608e-14,-0.4028859175,0.4524564634,0.593986136,0.4517617718,0.6058332392,0.7462628413,9.077939904e-15,9.352110458e-15,0.3670339138,0.5569082283,0.07605785796,1,0,0,0.8268166761,1.051876128,146.0502792,134.6494003,11.40087887
24.98270483,12,3,135.921541,1.581793962e-15,6.35037306e-15,-0.4142883031,0.459172128,0.5819602069,0.4627418928,0.6184446954,0.743510418,9.047345786e-15,9.361208927e-15,0.3824738413,0.5528077417,0.06471841699,1,0,0,0.8574669779,1.051731391,160.4290694,151.5695647,8.859504717
24.47285371,12.25,3,148.6991405,9.391276231e-16,3.531040698e-15,-0.4334861373,0.4539461507,0.5610320339,0.4627538454,0.6276761418,0.7272537827,9.03892394e-15,9.562976593e-15,0.393977339,0.5288980645,0.07712459656,1,0,0,0.899520294,1.034100633,190.7428681,174.6551248,16.08774333
