f_THz,lam_um,Re_S11,Im_S11,Re_S21,Im_S21,absS11,absS21,absS11_cross,absS21_cross,R_total,T_total,A,R_higher,T_higher
10,29.9792458,-0.2374893461,0.4250818701,0.7606479347,0.4143244481,0.4869248256,0.866169746,3.349290765e-06,3.234078876e-06,0.2370957858,0.7502500289,0.01265418532,0,0
10.024,29.90746788,-0.2387810203,0.4258188518,0.7592046197,0.4149619565,0.4881988019,0.8652081137,3.419631415e-06,3.391936008e-06,0.2383380702,0.74858508,0.01307684981,0,0
10.048,29.83603284,-0.2401003067,0.4265624574,0.7577538951,0.4156240268,0.4894932965,0.864253607,3.514741705e-06,3.560772592e-06,0.2396036873,0.7469342972,0.01346201544,0,0
10.072,29.76493824,-0.2414460497,0.427312986,0.7562961538,0.4163087519,0.4908080917,0.8633057681,3.632927979e-06,3.739164455e-06,0.2408925829,0.7452968492,0.01381056789,0,0
10.096,29.69418166,-0.2428170629,0.4280706908,0.7548317468,0.4170142724,0.4921429085,0.8623641165,3.772147157e-06,3.925830647e-06,0.2422046424,0.7436718694,0.01412348824,0,0
10.12,29.62376067,-0.2442121318,0.4288357753,0.7533609842,0.4177387789,0.4934974037,0.8614281513,3.930163018e-06,4.119625202e-06,0.2435396875,0.7420584599,0.01440185265,0,0
10.144,29.55367291,-0.2456300165,0.4296083885,0.751884137,0.4184805135,0.4948711676,0.8604973537,4.104677594e-06,4.319523121e-06,0.2448974725,0.7404556957,0.0146468318,0,0
10.168,29.48391601,-0.2470694559,0.4303886214,0.750401439,0.4192377713,0.4962637216,0.8595711888,4.293428285e-06,4.524603852e-06,0.2462776814,0.7388626286,0.01485968996,0,0
10.192,29.41448764,-0.2485291715,0.4311765024,0.7489130881,0.4200089018,0.4976745174,0.8586491083,4.494250773e-06,4.734034277e-06,0.2476799253,0.7372782911,0.01504178358,0,0
10.216,29.34538547,-0.2500078727,0.431971994,0.747419248,0.4207923101,0.4991029353,0.8577305524,4.705113328e-06,4.947052378e-06,0.24910374,0.7357017006,0.01519455941,0,0
10.24,29.27660723,-0.2515042624,0.4327749892,0.7459200503,0.4215864577,0.5005482847,0.8568149525,4.924129951e-06,5.162952137e-06,0.2505485853,0.7341318628,0.01531955191,0,0
10.264,29.20815062,-0.2530170433,0.4335853084,0.7444155957,0.4223898639,0.5020098045,0.8559017328,5.149559463e-06,5.381069879e-06,0.2520138438,0.7325677762,0.01541837993,0,0
10.288,29.14001341,-0.2545449249,0.4344026967,0.7429059562,0.4232011058,0.5034866648,0.8549903132,5.379796262e-06,5.60077207e-06,0.2534988217,0.7310084357,0.0154927426,0,0
10.312,29.07219337,-0.256086631,0.4352268226,0.7413911767,0.4240188193,0.5049779695,0.854080111,5.613356872e-06,5.821444449e-06,0.2550027497,0.7294528361,0.01554441421,0,0
10.336,29.00468827,-0.2576409079,0.4360572767,0.7398712768,0.4248416995,0.5064827598,0.8531705433,5.848865017e-06,6.042482365e-06,0.256524786,0.7278999759,0.01557523809,0,0
10.36,28.93749595,-0.259206533,0.4368935717,0.7383462524,0.4256685005,0.5080000194,0.8522610285,6.085036868e-06,6.263282151e-06,0.2580640198,0.7263488608,0.01558711947,0,0
10.384,28.87061421,-0.2607823234,0.4377351433,0.7368160777,0.4264980359,0.5095286802,0.8513509893,6.32066741e-06,6.483233391e-06,0.259619476,0.724798507,0.01558201706,0,0
10.408,28.80404093,-0.2623671454,0.4385813526,0.7352807068,0.4273291784,0.5110676294,0.8504398535,6.554618318e-06,6.701711956e-06,0.2611901218,0.7232479445,0.01556193365,0,0
10.432,28.73777396,-0.2639599228,0.4394314888,0.7337400754,0.42816086,0.5126157179,0.8495270568,6.785807492e-06,6.918073721e-06,0.2627748743,0.7216962203,0.01552890543,0,0
10.456,28.67181121,-0.2655596467,0.4402847744,0.7321941027,0.4289920711,0.5141717695,0.8486120439,7.013200195e-06,7.131648881e-06,0.2643726086,0.7201424011,0.01548499029,0,0
10.48,28.60615057,-0.2671653834,0.4411403704,0.7306426928,0.4298218604,0.5157345911,0.8476942705,7.235801653e-06,7.341736829e-06,0.2659821686,0.7185855763,0.01543225512,0,0
10.504,28.54078998,-0.2687762822,0.441997384,0.7290857366,0.4306493342,0.5173029841,0.8467732048,7.452650945e-06,7.547601602e-06,0.2676023774,0.7170248604,0.01537276219,0,0
10.528,28.47572739,-0.2703915831,0.442854876,0.7275231133,0.4314736553,0.5188757552,0.845848329,7.662815983e-06,7.748467882e-06,0.2692320494,0.7154593957,0.01530855489,0,0
10.552,28.41096077,-0.2720106223,0.4437118707,0.7259546918,0.4322940429,0.5204517296,0.8449191405,7.865389405e-06,7.943517629e-06,0.2708700029,0.7138883541,0.01524164295,0,0
10.576,28.34648809,-0.2736328376,0.444567366,0.7243803325,0.4331097709,0.5220297623,0.8439851537,8.059485218e-06,8.131887387e-06,0.2725150728,0.7123109398,0.01517398739,0,0
