f_THz,mode,abs_G,kz,propagating,side,Re_S,Im_S,power
10,1,0,0.2095845022,1,trans,0.7606479347,0.4143244481,0.7502500289
10,1,0,0.2095845022,1,refl,-0.2374893461,0.4250818701,0.2370957858
10.024,1,0,0.210087505,1,trans,0.7592046197,0.4149619565,0.74858508
10.024,1,0,0.210087505,1,refl,-0.2387810203,0.4258188518,0.2383380702
10.048,1,0,0.2105905078,1,trans,0.7577538951,0.4156240268,0.7469342972
10.048,1,0,0.2105905078,1,refl,-0.2401003067,0.4265624574,0.2396036873
10.072,1,0,0.2110935106,1,trans,0.7562961538,0.4163087519,0.7452968492
10.072,1,0,0.2110935106,1,refl,-0.2414460497,0.427312986,0.2408925829
10.096,1,0,0.2115965134,1,trans,0.7548317468,0.4170142724,0.7436718693
10.096,1,0,0.2115965134,1,refl,-0.2428170629,0.4280706908,0.2422046424
10.12,1,0,0.2120995162,1,trans,0.7533609842,0.4177387789,0.7420584598
10.12,1,0,0.2120995162,1,refl,-0.2442121318,0.4288357753,0.2435396875
10.144,1,0,0.212602519,1,trans,0.751884137,0.4184805135,0.7404556957
10.144,1,0,0.212602519,1,refl,-0.2456300165,0.4296083885,0.2448974725
10.168,1,0,0.2131055218,1,trans,0.750401439,0.4192377713,0.7388626286
10.168,1,0,0.2131055218,1,refl,-0.2470694559,0.4303886214,0.2462776814
10.192,1,0,0.2136085246,1,trans,0.7489130881,0.4200089018,0.7372782911
10.192,1,0,0.2136085246,1,refl,-0.2485291715,0.4311765024,0.2476799253
10.216,1,0,0.2141115274,1,trans,0.747419248,0.4207923101,0.7357017005
10.216,1,0,0.2141115274,1,refl,-0.2500078727,0.431971994,0.24910374
10.24,1,0,0.2146145302,1,trans,0.7459200503,0.4215864577,0.7341318627
10.24,1,0,0.2146145302,1,refl,-0.2515042624,0.4327749892,0.2505485853
10.264,1,0,0.2151175331,1,trans,0.7444155957,0.4223898639,0.7325677762
10.264,1,0,0.2151175331,1,refl,-0.2530170433,0.4335853084,0.2520138438
10.288,1,0,0.2156205359,1,trans,0.7429059562,0.4232011058,0.7310084357
10.288,1,0,0.2156205359,1,refl,-0.2545449249,0.4344026967,0.2534988216
