lam_um,f_THz,side,n1,n2,kz_rad_per_um,Re_S_TE,Im_S_TE,Re_S_TM,Im_S_TM,power
29.9792458,10,trans,0,0,0.2095845022,7.873022651e-15,7.333935186e-15,0.7731581682,0.3529723314,0.7223630198
29.9792458,10,refl,0,0,0.2095845022,2.928212238e-15,4.01211768e-15,-0.2354222876,0.3835682271,0.2025482383
27.25385982,11,trans,0,0,0.2305429524,-6.580228697e-14,-3.734553741e-14,0.7822590925,0.3844432102,0.7597258697
27.25385982,11,refl,0,0,0.2305429524,-6.575222014e-14,-4.59630661e-14,-0.2165033148,0.4064076307,0.2120408476
24.98270483,12,trans,0,0,0.2515014026,-8.515721889e-14,-4.414020225e-14,0.7743620856,0.3843039413,0.7473261588
24.98270483,12,refl,0,0,0.2515014026,-9.706520972e-14,-3.492323628e-14,-0.2084283323,0.3800204862,0.1878579396
23.06095831,13,trans,0,0,0.2724598529,3.626086374e-15,-1.24170112e-13,0.7598732156,0.3095229453,0.6732117575
23.06095831,13,refl,0,0,0.2724598529,2.883310406e-14,-1.32021313e-13,-0.205219602,0.3086871747,0.1374028569
21.413747,14,trans,0,0,0.2934183031,7.175192535e-14,1.442816579e-13,0.3933175578,0.3814675437,0.3002161882
21.413747,14,refl,0,0,0.2934183031,5.063236574e-14,1.590264052e-13,-0.5966979752,0.3789758898,0.4996711987
19.98616387,15,trans,0,0,0.3143767533,1.710531563e-14,-1.359386742e-13,0.4005787894,0.3599233323,0.2900081717
19.98616387,15,refl,0,0,0.3143767533,2.819180355e-14,-1.456573604e-13,-0.5931549751,0.3620425068,0.4829076012
18.73702863,16,trans,0,0,0.3353352035,1.254777433e-12,2.521420874e-12,0.3642711165,0.8848375753,0.9156309809
18.73702863,16,refl,0,0,0.3353352035,7.800032122e-13,1.815550601e-12,-0.6836081788,0.7266785637,0.995381877
17.63485047,17,trans,0,0,0.3562936537,-2.144869725e-14,-3.697139223e-14,0.1722302112,0.240833226,0.08766388839
17.63485047,17,refl,0,0,0.3562936537,-2.263464828e-14,-3.787561121e-14,-0.7918146686,0.2295050396,0.6796430327
16.65513656,18,trans,0,0,0.377252104,-6.690944069e-14,-7.306987517e-14,-0.06519054187,-0.05330219567,0.007090930813
16.65513656,18,refl,0,0,0.377252104,-2.790017079e-14,-1.083494069e-13,-1.004514456,-0.08928588275,1.017021262
15.77855042,19,trans,0,0,0.3982105542,-5.138233301e-14,8.755235359e-15,0.424826537,-0.3807373577,0.3254385221
15.77855042,19,trans,-1,0,0.06602330411,-3.167907301e-16,-1.064587326e-16,-8.316813432e-17,1.095893952e-16,1.306166025e-31
15.77855042,19,trans,0,-1,0.06602330411,-4.451495721e-16,5.474374245e-16,-2.241562862e-16,3.977464257e-16,7.062941351e-31
15.77855042,19,trans,0,1,0.06602330411,-4.673948604e-16,4.917878797e-16,-2.462810168e-16,3.873780869e-16,6.710293956e-31
15.77855042,19,trans,1,0,0.06602330411,-3.101551311e-16,-2.083162972e-16,-1.07275606e-16,9.29388969e-17,1.597375792e-31
15.77855042,19,refl,0,0,0.3982105542,-4.345192789e-14,6.852126128e-15,-0.5806311176,-0.3560251236,0.4638863833
15.77855042,19,refl,-1,0,0.06602330411,-3.25730818e-16,-9.316728629e-17,9.523808593e-17,-5.029585285e-17,1.263806748e-31
15.77855042,19,refl,0,-1,0.06602330411,-4.44283362e-16,5.302149653e-16,2.667831581e-16,-2.652865378e-16,6.200658158e-31
15.77855042,19,refl,0,1,0.06602330411,-4.685684571e-16,4.875272531e-16,2.778908157e-16,-2.573791873e-16,6.00706573e-31
15.77855042,19,refl,1,0,0.06602330411,-3.222876884e-16,-1.829565474e-16,1.242639666e-16,-3.758092839e-17,1.541963119e-31
14.9896229,20,trans,0,0,0.4191690044,6.634857707e-14,2.924339541e-14,0.5562513776,0.4262756143,0.4911264944
14.9896229,20,trans,-1,0,0.1465949708,1.306387187e-16,-4.342531159e-16,-4.23494461e-16,3.179704524e-17,3.86000854e-31
14.9896229,20,trans,0,-1,0.1465949708,-5.104005238e-18,3.654607593e-16,-1.890202643e-16,-2.038616076e-16,2.108758328e-31
14.9896229,20,trans,0,1,0.1465949708,-8.180397612e-17,3.649206495e-16,-1.696078036e-16,-2.139968578e-16,2.144204331e-31
