f_THz,lam_um,Re_S11,Im_S11,Re_S21,Im_S21,absS11,absS21,R,T,A
0,inf,7.061873698e-05,1.16432504e-06,0.9998761655,0.0005816281164,7.062833472e-05,0.9998763346,4.988361665e-09,0.9997526845,0.0002473104653
0.01,29979.2458,1.157469738e-05,0.0002765216052,0.9999882523,0.000314378883,0.0002767637472,0.9999883017,7.659817175e-08,0.9999766035,2.331985797e-05
0.035,8565.4988,-0.0001190118188,0.0009708779909,0.999999987,-0.0001615064962,0.0009781451253,1,9.567678862e-07,1,-9.567678863e-07
0.07,4282.7494,-0.0002635423287,0.001955525497,0.9999999167,-0.0004081992738,0.001973204127,1,3.893534527e-06,1,-3.893534526e-06
0.105,2855.166267,-0.0003675811728,0.002952316626,0.9999999736,-0.000229676321,0.002975111658,1,8.851289376e-06,1,-8.851289376e-06
0.14,2141.3747,-0.000435854628,0.003958871735,0.9999999529,0.0003069835032,0.00398279232,1,1.586263467e-05,1,-1.586263467e-05
0.175,1713.09976,-0.0004731336547,0.00497318534,0.9999993509,0.001139386017,0.004995640888,1,2.495642788e-05,1,-2.495642788e-05
0.21,1427.583133,-0.0004841636842,0.005993586489,0.9999975576,0.002210176608,0.006013110133,1,3.615749347e-05,1,-3.615749347e-05
0.245,1223.642686,-0.0004735980208,0.007018697497,0.999993989,0.003467283687,0.007034657749,1,4.948640964e-05,1,-4.948640964e-05
0.28,1070.68735,-0.000445935535,0.008047392613,0.9999881704,0.004864053147,0.008059738604,1,6.495938637e-05,1,-6.495938637e-05
0.315,951.7220889,-0.0004054633706,0.00907875804,0.9999797796,0.006359279253,0.009087807662,1,8.25882481e-05,1,-8.25882481e-05
0.35,856.54988,-0.0003562054376,0.01011205461,0.999968659,0.007917139944,0.01011832648,1,0.0001023805307,1,-0.0001023805307
0.385,778.6817091,-0.0003018774816,0.01114668413,0.999954807,0.009507046542,0.01115077115,1,0.0001243396972,1,-0.0001243396972
0.42,713.7915667,-0.0002458494938,0.01218216023,0.9999383551,0.01110341928,0.01218464074,1,0.0001484654699,1,-0.0001484654699
0.455,658.8845231,-0.0001911161643,0.01321808406,0.9999195371,0.01268540097,0.01321946564,1,0.0001747542717,1,-0.0001747542717
0.49,611.8213429,-0.0001402759388,0.01425412513,0.999766712,0.01423464274,0.01425481535,0.9998680431,0.0002031997606,0.9997361035,6.069672526e-05
0.525,571.0332533,-9.551906389e-05,0.01529000699,0.9996119196,0.0157401655,0.01529030535,0.9997358365,0.0002337934377,0.9994717427,0.0002944638774
0.56,535.343675,-5.862475338e-05,0.01632549738,0.9994657021,0.01719332538,0.01632560264,0.9996135754,0.0002665253016,0.9992273001,0.0005061745875
0.595,503.8528706,-3.096733928e-05,0.01736040217,0.9993301329,0.01858858703,0.01736042979,0.9995030016,0.0003013845226,0.9990062501,0.0006923653361
0.63,475.8610444,-1.353096934e-05,0.01839456228,0.9992065887,0.01992319911,0.01839456725,0.9994051935,0.0003383601044,0.9988107408,0.0008508991222
0.665,450.8157263,-6.93212047e-06,0.01942785265,0.9990958116,0.0211967786,0.01942785388,0.9993206414,0.0003774415065,0.9986417443,0.0009808142212
0.7,428.27494,-1.144893118e-05,0.02046018252,0.9989979805,0.02241090926,0.02046018572,0.9992493252,0.0004186191997,0.9984992139,0.001082166918
0.735,407.8808952,-2.705613607e-05,0.02149149602,0.9989127868,0.02356876043,0.02149151305,0.9991907936,0.0004618851333,0.9983822421,0.001155872796
0.77,389.3408545,-5.346423161e-05,0.02252177261,0.9988395137,0.02467473072,0.02252183607,0.9991442421,0.0005072331001,0.9982892164,0.001203550476
0.805,372.4129913,-9.016142055e-05,0.02355102669,0.9987771148,0.02573412027,0.02355119928,0.9991085877,0.0005546589873,0.99821797,0.001227371025
0.84,356.8957833,-0.0001364568753,0.0245793062,0.998724291,0.02675283397,0.02457968499,0.9990825409,0.000604160914,0.9981659235,0.001229915612
0.875,342.619952,-0.0001915239281,0.02560669004,0.998679563,0.02773711706,0.02560740627,0.9990646712,0.000655739256,0.9981302173,0.001214043476
0.91,329.4422615,-0.0002544419202,0.02663328425,0.9986413395,0.02869332397,0.02663449963,0.9990534679,0.0007093965706,0.9981078318,0.001182771658
0.945,317.2406963,-0.0003242356171,0.02765921733,0.9986079777,0.02962772031,0.02766111769,0.9990473938,0.0007651374321,0.998095695,0.001139167601
0.98,305.9106714,-0.0003999112986,0.02868463468,0.9985778383,0.03054631732,0.02868742226,0.9990449322,0.0008229681957,0.9980907766,0.001086255247
1.015,295.3620276,-0.0004804888493,0.02970969269,0.9985493317,0.03145473788,0.02971357786,0.9990446278,0.0008828967093,0.9980901683,0.001026934943
1.05,285.5166267,-0.0005650293971,0.03073455271,0.9985209579,0.03235811232,0.03073974607,0.9990451195,0.0009449319886,0.9980911508,0.0009639171836
1.085,276.3064129,-0.000652658244,0.03175937522,0.9984913379,0.03326100233,0.03176608061,0.9990451672,0.001009083877,0.9980912462,0.0008996699237
1.12,267.6718375,-0.0007425830271,0.03278431447,0.9984592382,0.03416735072,0.03279272335,0.9990436719,0.001075362705,0.9980882583,0.0008363789997
1.155,259.5605697,-0.0008341071976,0.03380951384,0.9984235883,0.0350804547,0.03381980131,0.9990396889,0.001143778961,0.9980803001,0.0007759209856
1.19,251.9264353,-0.0009266390381,0.034835102,0.9983834916,0.03600296015,0.03484742446,0.9990324366,0.001214342991,0.9980658094,0.0007198476548
1.225,244.7285371,-0.001019696538,0.03586119008,0.99833823,0.03693687421,0.03587568446,0.9990212982,0.001287064735,0.9980435542,0.0006693810727
1.26,237.9305222,-0.001112908522,0.03688786973,0.9982872641,0.03788359356,0.03690465416,0.9990058199,0.001361953498,0.9980126283,0.0006254182378
1.295,231.4999676,-0.001206012466,0.03791521212,0.998230227,0.03884394562,0.03793438777,0.9989857047,0.001439017776,0.9979724381,0.0005885440945
1.33,225.4078632,-0.001298849481,0.03894326786,0.9981669154,0.03981824004,0.03896492168,0.9989608016,0.001518265122,0.9979226832,0.0005590516816
1.365,219.6281744,-0.00139135693,0.03997206766,0.9980972765,0.04080632803,0.03999627567,0.9989310936,0.001599702067,0.9978633298,0.0005369681448
1.4,214.13747,-0.001483559173,0.04100162361,0.9980213923,0.0418076668,0.0410284546,0.9988966816,0.001683334087,0.9977945806,0.0005220853281
1.435,208.9146049,-0.001575556883,0.042031931,0.9979394619,0.04282138714,0.04206145032,0.998857768,0.001769165603,0.9977168407,0.0005139936771
1.47,203.9404476,-0.001667515393,0.0430629705,0.9978517817,0.04384636177,0.04309524377,0.9988146383,0.001857200036,0.9976306817,0.0005121182245
1.505,199.1976465,-0.00175965247,0.04409471065,0.9977587263,0.04488127276,0.04412980721,0.998767643,0.001947439884,0.9975368046,0.0005157554945
1.54,194.6704273,-0.001852225916,0.04512711039,0.9976607274,0.04592467625,0.04516510636,0.9987171786,0.002039886833,0.9974360029,0.0005241102438
1.575,190.3444178,-0.001945521312,0.04616012169,0.9975582542,0.04697506307,0.04620110266,0.9986636706,0.002134541887,0.997329127,0.000536331065
1.61,186.2064957,-0.002039840242,0.04719369205,0.9974517942,0.04803091417,0.04723775521,0.9986075558,0.002231405518,0.9972170505,0.0005515439888
1.645,182.2446553,-0.002135489238,0.04822776694,0.9973418356,0.04909074988,0.04827502272,0.9985492671,0.002330477818,0.9971006388,0.0005688833584
1.68,178.4478917,-0.002232769677,0.04926229194,0.997228851,0.05015317236,0.04931286513,0.9984892197,0.002431758668,0.996980722,0.0005875193801
1.715,174.806098,-0.00233196881,0.0502972147,0.9971132831,0.05121690088,0.05035124512,0.9984277992,0.002535247885,0.9968580702,0.0006066818977
1.75,171.309976,-0.002433352066,0.0513324866,0.9969955329,0.05228079968,0.05139012923,0.9983653512,0.002640945382,0.9967333745,0.0006256800756
1.785,167.9509569,-0.002537156718,0.0523680641,0.9968759498,0.05334389846,0.05242948886,0.9983021741,0.002748851302,0.9966072309,0.0006439178134
1.82,164.7211308,-0.002643586968,0.05340390982,0.9967548248,0.05440540567,0.05346930087,0.9982385131,0.002858966136,0.996480129,0.0006609048416
1.855,161.6131849,-0.002752810471,0.05443999325,0.9966323851,0.0554647151,0.05450954807,0.9981745567,0.002971290831,0.9963524456,0.0006762635678
1.89,158.6203481,-0.002864956272,0.05547629125,0.9965087917,0.05652140606,0.05555021931,0.9981104354,0.003085826865,0.9962244413,0.0006897318486
1.925,155.7363418,-0.002980114096,0.05651278817,0.9963841396,0.05757523797,0.05659130947,0.9980462222,0.003202576307,0.9960962617,0.0007011619573
1.96,152.9553357,-0.003098334909,0.05754947582,0.9962584593,0.05862613994,0.05763281918,0.9979819347,0.003321541847,0.9959679421,0.0007105160927
1.995,150.2719088,-0.003219632635,0.0585863531,0.9961317205,0.05967419626,0.0586747544,0.9979175389,0.003442726804,0.9958394144,0.0007178588402
2.03,147.6810138,-0.003343986884,0.05962342549,0.9960038376,0.06071962834,0.05971712582,0.997852954,0.003566135116,0.9957105178,0.0007233470419
2.065,145.1779458,-0.003471346546,0.0606607044,0.9958746763,0.06176277422,0.06075994819,0.9977880592,0.003691771305,0.9955810111,0.0007272175647
2.1,142.7583133,-0.003601634079,0.06169820625,0.9957440612,0.06280406628,0.06180323958,0.9977227,0.003819640423,0.9954505861,0.0007297734722
2.135,140.4180131,-0.003734750318,0.06273595166,0.9956117846,0.06384400791,0.06284702054,0.9976566959,0.00394974799,0.9953188829,0.0007313691113
2.17,138.1532065,-0.003870579626,0.06377396434,0.9954776152,0.06488315007,0.06389131329,0.9975898483,0.004082099914,0.9951855055,0.0007323946124
2.205,135.9602984,-0.004008995217,0.06481227017,0.9953413074,0.06592206815,0.06493614099,0.9975219483,0.004216702407,0.9950500373,0.0007332602834
2.24,133.8359187,-0.004149864479,0.06585089611,0.9952026104,0.06696134008,0.06598152691,0.9974527842,0.004353561893,0.9949120568,0.0007343813454
2.275,131.7769046,-0.004293054145,0.06688986929,0.9950612766,0.06800152583,0.06702749382,0.9973821493,0.004492684928,0.9947711517,0.000736163419
2.31,129.7802848,-0.004438435173,0.06792921609,0.9949170701,0.06904314914,0.06807406338,0.9973098479,0.004634078105,0.9946269328,0.0007389891229
2.345,127.8432657,-0.004585887203,0.06896896129,0.9947697739,0.07008668158,0.06912125565,0.9972357023,0.004777747983,0.9944790459,0.0007432060933
2.38,125.9632176,-0.004735302495,0.07000912743,0.9946191963,0.07113252933,0.07016908873,0.9971595571,0.004923701013,0.9943271823,0.0007491166787
2.415,124.1376638,-0.004886589262,0.07104973421,0.9944651763,0.07218102279,0.07121757849,0.9970812841,0.005071943485,0.994171087,0.0007569695006
2.45,122.3642686,-0.005039674336,0.07209079805,0.9943075881,0.07323240921,0.07226673841,0.9970007851,0.005222481481,0.9940105655,0.0007669530153
2.485,120.6408282,-0.005194505133,0.07313233184,0.9941463434,0.07428684821,0.0733165796,0.9969179946,0.005375320845,0.993845488,0.000779191149
2.52,118.9652611,-0.005351050894,0.07417434478,0.993981394,0.0753444103,0.07436711081,0.9968328806,0.00553046717,0.9936757918,0.0007937410205
2.555,117.3356,-0.005509303207,0.07521684237,0.9938127316,0.07640507804,0.07541833861,0.9967454447,0.005687925798,0.9935014815,0.0008105927097
2.59,115.7499838,-0.005669275838,0.07625982654,0.9936403877,0.07746874985,0.07647026764,0.9966557215,0.005847701833,0.9933226272,0.0008296709812
2.625,114.2066507,-0.00583100391,0.07730329591,0.9934644312,0.07853524602,0.07752290091,0.9965637767,0.006009800165,0.993139361,0.0008508388207
2.66,112.7039316,-0.005994542478,0.07834724613,0.9932849665,0.07960431674,0.07857624014,0.9964697044,0.006174225515,0.9929518719,0.0008739026078
2.695,111.2402442,-0.00615996458,0.07939167028,0.9931021287,0.08067565181,0.07963028616,0.9963736241,0.006340982474,0.9927603988,0.0008986187089
2.73,109.8140872,-0.006327358843,0.08043655942,0.99291608,0.08174889157,0.08068503927,0.9962756763,0.006510075561,0.9925652232,0.0009247012494
2.765,108.4240354,-0.006496826723,0.08148190305,0.9927270042,0.08282363875,0.08174049965,0.9961760185,0.006681509283,0.9923666599,0.0009518308077
2.8,107.068735,-0.006668479479,0.08252768973,0.9925351011,0.08389947093,0.08279666775,0.9960748205,0.00685528819,0.9921650481,0.0009796637548
2.835,105.7468988,-0.006842434975,0.08357390757,0.9923405809,0.08497595309,0.08385354461,0.9959722592,0.007031416943,0.9919607411,0.001007841967
2.87,104.4573024,-0.007018814405,0.08462054483,0.9921436582,0.08605265001,0.08491113215,0.9958685139,0.007209900363,0.991754097,0.001036002634
2.905,103.1987807,-0.007197739039,0.08566759038,0.9919445458,0.08712913818,0.08596943346,0.9957637614,0.007390743489,0.9915454686,0.001063787903
2.94,101.9702238,-0.00737932706,0.08671503418,0.9917434493,0.08820501691,0.08702845293,0.9956581714,0.00757395162,0.9913351943,0.001090854107
2.975,100.7705741,-0.007563690608,0.08776286764,0.9915405617,0.08927991836,0.08808819644,0.9955519019,0.007759530352,0.9911235893,0.00111688035
3.01,99.59882326,-0.007750933064,0.08881108401,0.9913360582,0.09035351629,0.08914867136,0.9954450955,0.007947485606,0.9909109381,0.001141576254
3.045,98.4540092,-0.007941146671,0.08985967855,0.9911300921,0.09142553345,0.0902098866,0.9953378761,0.00813782364,0.9906974877,0.001164688689
