lam_um,f_THz,side,n1,n2,kz_rad_per_um,Re_S_TE,Im_S_TE,Re_S_TM,Im_S_TM,power
29.9792458,10,trans,0,0,0.2095845022,-2.151753311e-15,-6.809231543e-15,0.9049709316,0.2537209431,0.8833467039
29.9792458,10,refl,0,0,0.2095845022,-4.831465703e-15,-6.800810435e-15,-0.09854519953,0.2707253672,0.0830033808
27.25385982,11,trans,0,0,0.2305429524,-3.705615215e-14,-1.892950911e-14,0.8931586686,0.281911613,0.8772065648
27.25385982,11,refl,0,0,0.2305429524,-3.675440386e-14,-3.094484381e-14,-0.1040952219,0.3050745866,0.1039063186
24.98270483,12,trans,0,0,0.2515014026,1.60123947e-14,-1.457194512e-14,0.9722426353,0.3162725349,1.045284058
24.98270483,12,refl,0,0,0.2515014026,2.217107486e-14,-1.509091164e-14,-0.008528642671,0.2964273465,0.08794190951
23.06095831,13,trans,0,0,0.2724598529,-2.923629891e-14,4.525239435e-15,0.8620462009,0.302259864,0.8344846779
23.06095831,13,refl,0,0,0.2724598529,-3.313092317e-14,-8.236138394e-16,-0.105133359,0.2819978589,0.09057581563
21.413747,14,trans,0,0,0.2934183031,5.5552702e-14,-3.891893996e-14,0.7191392659,0.3175932773,0.6180267735
21.413747,14,refl,0,0,0.2934183031,3.840746143e-14,-4.266450288e-14,-0.277725172,0.3094925823,0.1729169296
19.98616387,15,trans,0,0,0.3143767533,1.133304424e-13,-2.886489683e-14,0.7301546981,0.5386371735,0.8232558879
19.98616387,15,refl,0,0,0.3143767533,1.409274533e-13,-2.824112882e-14,-0.2607964135,0.56997884,0.3928906473
18.73702863,16,trans,0,0,0.3353352035,3.864836279e-14,-2.615585051e-15,0.6393561983,0.4413964569,0.6036071804
18.73702863,16,refl,0,0,0.3353352035,3.910123122e-14,8.016278176e-15,-0.3420352765,0.4608329187,0.3293551093
17.63485047,17,trans,0,0,0.3562936537,-1.668940349e-15,3.432382219e-15,0.5403782614,0.4834681267,0.5257500949
17.63485047,17,refl,0,0,0.3562936537,-7.754395523e-16,-2.618766055e-15,-0.44143402,0.447305982,0.3949466355
16.65513656,18,trans,0,0,0.377252104,-1.450273459e-14,8.617035088e-15,0.4614419496,0.5137765932,0.4768950606
16.65513656,18,refl,0,0,0.377252104,-9.596975976e-15,-9.139422672e-15,-0.5208657007,0.4388606965,0.4638997892
15.77855042,19,trans,0,0,0.3982105542,-4.733391218e-15,1.063798866e-15,0.319238232,0.431516649,0.2881196671
15.77855042,19,refl,0,0,0.3982105542,-1.595695227e-15,-4.840523241e-15,-0.6695790652,0.4511685187,0.6518891567
14.9896229,20,trans,0,0,0.4191690044,-2.257711604e-15,1.67444257e-15,0.2194522499,0.3676688175,0.1833396493
14.9896229,20,refl,0,0,0.4191690044,1.169203052e-15,-2.884110402e-15,-0.7704649416,0.3863631736,0.7428927281
14.27583133,21,trans,0,0,0.4401274546,-2.105508375e-15,1.53872317e-17,0.1298538938,0.2657946155,0.08750881139
14.27583133,21,refl,0,0,0.4401274546,1.035225234e-15,-3.114022406e-15,-0.8620719305,0.2852512774,0.8245363045
13.62692991,22,trans,0,0,0.4610859048,-3.112334049e-15,-5.719567007e-16,0.06960542384,0.1295527334,0.02162882576
13.62692991,22,refl,0,0,0.4610859048,-6.6147797e-16,-2.481690758e-15,-0.9249335633,0.1518451135,0.878559035
