lam_um,f_THz,lmax,cond_I_minus_CT,Re_S11,Im_S11,Re_S21,Im_S21,absS11,absS21,R,T,A,absS11_uncoupled,absS21_uncoupled,A_uncoupled,sigma_ext_um2,sigma_sca_um2,sigma_abs_um2
29.9792458,10,3,93.09985457,-0.4341023388,0.4571161452,0.5578710007,0.4301513497,0.630396709,0.7044503084,0.3974000108,0.496250237,0.1063497522,0.8097033146,1.128300898,-0.9286823737,23.19321724,20.53589197,2.657325272
27.25385982,11,3,71.15741422,-0.5164382375,0.4701850885,0.4736729216,0.4508826497,0.6984142543,0.653958103,0.4877824706,0.4276612005,0.08455632894,1.001519007,1.161078758,-1.351144204,40.32383179,36.87431962,3.449512171
24.98270483,12,3,59.49178519,-0.591274041,0.4667274256,0.3943401517,0.4570927795,0.7532857899,0.6036869754,0.5674394813,0.3644379643,0.06812255436,1.231117745,1.190634069,-1.933260388,69.470397,64.73838213,4.732014865
23.06095831,13,3,51.18882852,-0.6563127156,0.4408884067,0.3273898629,0.4410001552,0.7906509772,0.5492406205,0.6251289677,0.3016652592,0.0732057731,1.49876392,1.199820497,-2.685862513,116.0911086,108.9853661,7.105742576
21.413747,14,3,43.40190155,-0.7288745783,0.4023956679,0.2553371448,0.4035749633,0.832574576,0.4775665488,0.6931804245,0.2280698086,0.07874976692,1.764131333,1.161465109,-3.461160561,177.5881888,167.1526697,10.43551905
19.98616387,15,3,34.61528735,-0.8121523966,0.3456912649,0.1757858389,0.3388015183,0.8826629968,0.3816898348,0.779093966,0.14568713,0.07521890408,1.922679799,1.053500169,-3.806560215,229.8488929,216.5003731,13.34851977
18.73702863,16,3,25.58213486,-0.8888980066,0.2608688059,0.1061256029,0.2447122777,0.9263866364,0.2667334671,0.8581922001,0.07114674245,0.07066105745,1.897992312,0.9038499777,-3.4193196,242.6454548,228.2484005,14.39705434
17.63485047,17,3,17.95433789,-0.942876838,0.1481987408,0.06323112965,0.1290402511,0.9544525124,0.1436995552,0.9109795984,0.02064956216,0.06837083946,1.742190871,0.7867323135,-2.654176762,218.5327627,205.4322937,13.100469
16.65513656,18,3,12.41440962,-0.9634135016,0.02170111668,0.05185594966,0.003453226355,0.963657882,0.05197080226,0.9286365136,0.002700964287,0.06866252215,1.549814755,0.7433475608,-1.95449137,181.5334088,171.1337971,10.39961172
15.77855042,19,4,49.13346552,-1.009464557,-0.100360767,0.0007587770925,-0.1126525588,1.014441214,0.1126551142,1.029090976,0.01269117475,-0.04178215111,1.388131254,0.7625485105,-1.508388608,150.8507105,141.1807447,9.669965859
14.9896229,20,4,33.98125317,-0.9651666674,-0.2208937345,0.04464842243,-0.2465040031,0.9901215773,0.2505148801,0.9803407378,0.06275770515,-0.04309844295,1.21377402,0.7830260303,-1.086377136,121.3584087,112.7015373,8.656871402
14.27583133,21,4,22.84130939,-0.8160074138,-0.3244727628,0.1820064345,-0.3654958183,0.8781518509,0.4083056886,0.7711506732,0.1667135354,0.06213579142,1.05303022,0.8146073487,-0.7724577764,96.68237562,89.84277418,6.83960144
13.62692991,22,4,15.17257658,-0.7228836536,-0.3874168861,0.2727024503,-0.4255482747,0.8201540223,0.5054284919,0.6726526202,0.2554579604,0.07188941932,0.9256769662,0.8404074766,-0.5631625725,77.29426054,71.40690234,5.887358203
13.0344547,23,4,11.00038684,-0.6237825635,-0.429516337,0.3694988309,-0.4624530116,0.7573565675,0.591939333,0.5735889703,0.3503921739,0.07601885575,0.8167607589,0.864547851,-0.414541124,61.75541131,56.58790713,5.167504181
12.49135242,24,4,9.88469369,-0.5248898761,-0.4504952641,0.4666098982,-0.4779091427,0.6917046805,0.6679236077,0.478455365,0.4461219457,0.07542268929,0.7215241495,0.8858886722,-0.3053958379,49.2708984,44.64493959,4.625958802
11.99169832,25,4,9.59008361,-0.4314069078,-0.4512633801,0.5592641202,-0.4755577435,0.6243000547,0.7341195567,0.3897505584,0.5389315236,0.07131791805,0.634938111,0.9038548569,-0.2201000072,39.25044766,35.0281637,4.222283961
11.53047915,26,5,52.55327945,-0.3559068473,-0.4227852825,0.63420656,-0.4447816625,0.5526455275,0.7746280966,0.3054170791,0.6000486881,0.09453423285,0.554073078,0.9185629711,-0.1507549077,31.70285429,27.31372699,4.389127292
11.10342437,27,5,59.41228296,-0.2811570344,-0.3974433582,0.7132588833,-0.4279169781,0.4868372428,0.8317759162,0.2370105009,0.6918511747,0.07113832437,0.4709488105,0.9286974734,-0.08427177924,25.17793997,21.08175411,4.096185866
10.7068735,28,5,68.37912595,-0.2132441993,-0.3484112132,0.7824010402,-0.3920871861,0.4084892434,0.8751478442,0.166863462,0.7658837492,0.06725278876,0.3907788131,0.9349211472,-0.02678563213,20.13049538,16.29645957,3.83403581
10.33767097,29,5,83.3732602,-0.1509418249,-0.2936773242,0.8418541871,-0.3466624392,0.3301966161,0.9104357853,0.1090298053,0.8288933191,0.06207687565,0.3167676399,0.9370787896,0.02154160448,16.44110097,12.85479872,3.586302246
9.993081933,30,4,29.48916754,-0.0955749884,-0.2423549226,0.8910747543,-0.2929015725,0.2605196478,0.9379795035,0.0678704869,0.8798055489,0.05232396416,0.2543935187,0.9354761249,0.06016835729,14.03404918,10.83343626,3.200612915
9.670724452,31,4,52.6933219,-0.05411936108,-0.1828382059,0.9303964368,-0.2339981964,0.1906796129,0.9593709843,0.03635871476,0.9203926856,0.04324859968,0.1985285786,0.9301441991,0.0954181724,12.71492734,9.596996396,3.117930947
9.368514313,32,5,73.74406363,-0.02252602092,-0.1196275545,0.9699477303,-0.1648230288,0.12172992,0.9838522401,0.01481817342,0.9679652303,0.01721659624,0.1575282347,0.9224295143,0.1243086464,12.1185386,9.201621964,2.916916631
9.084619939,33,5,28.60216512,-3.106495975e-05,-0.03688493952,0.9934247191,-0.07537346637,0.03688495261,0.9962799968,0.001360499729,0.992573832,0.00606566825,0.1262084294,0.9122857034,0.1518062277,12.37968638,9.607204149,2.772482228
8.817425235,34,5,18.46920201,-0.01390829252,0.06605620585,0.9809854442,0.02929706928,0.06750454008,0.9814228242,0.004556862932,0.9631907599,0.03225237714,0.1078935376,0.9000690003,0.1782347793,13.27638735,10.58924084,2.687146508
