f_THz,lam_um,Re_S11,Im_S11,Re_S21,Im_S21,absS11,absS21,R,T,A
0,inf,0.0002537162334,9.086850792e-05,0.9996459696,0.002854779375,0.0002694977047,0.999650046,7.262901284e-08,0.9993002144,0.0006997129776
0.01,29979.2458,1.849067399e-05,0.0006388008044,0.9999806148,0.0006961430734,0.0006390683631,0.9999808571,4.084083727e-07,0.9999617146,3.78770292e-05
0.035,8565.4988,-0.0005130939543,0.002046456972,0.9999925205,-0.003867684528,0.002109798934,1,4.451251542e-06,1,-4.451251542e-06
0.07,4282.7494,-0.001126037385,0.004098828171,0.9999649796,-0.008368969721,0.004250688481,1,1.806835256e-05,1,-1.806835256e-05
0.105,2855.166267,-0.001594174517,0.006233060214,0.9999410013,-0.01086250288,0.006433695052,1,4.139243203e-05,1,-4.139243203e-05
0.14,2141.3747,-0.001928652729,0.008435810969,0.999933007,-0.01157504132,0.008653473756,1,7.488260805e-05,1,-7.488260805e-05
0.175,1713.09976,-0.002142371709,0.01069530927,0.9999423158,-0.01074081633,0.01090776773,1,0.0001189793968,1,-0.0001189793968
0.21,1427.583133,-0.002249636022,0.01300129178,0.9999630498,-0.008596458208,0.01319448559,1,0.0001740944501,1,-0.0001740944501
0.245,1223.642686,-0.002265797264,0.01534489354,0.9999855498,-0.005375883493,0.01551127316,1,0.0002405995949,1,-0.0002405995949
0.28,1070.68735,-0.00220688832,0.01771850224,0.999999148,-0.001305355784,0.01785541032,1,0.0003188156779,1,-0.0003188156779
0.315,951.7220889,-0.002089252874,0.02011558826,0.9999942164,0.003401061182,0.02022379462,1,0.0004090018687,1,-0.0004090018687
0.35,856.54988,-0.00192917453,0.02253052359,0.9999634869,0.008545456474,0.02261296548,1,0.0005113462077,1,-0.0005113462077
0.385,778.6817091,-0.00174251162,0.02495840356,0.9999027042,0.01394926876,0.02501915776,1,0.0006259582548,1,-0.0006259582548
0.42,713.7915667,-0.001544345725,0.02739488442,0.9998107215,0.01945561983,0.02743837998,1,0.0007528646961,1,-0.0007528646961
0.455,658.8845231,-0.001348653952,0.02983604848,0.9996891808,0.02493074036,0.02986651396,1,0.0008920086562,1,-0.0008920086562
0.49,611.8213429,-0.001168016485,0.03227830521,0.9992371181,0.03025527559,0.0322994311,0.9996950535,0.001043253249,0.9993902,-0.0004334532046
0.525,571.0332533,-0.001013371633,0.03471833319,0.9985472522,0.03534087358,0.03473311937,0.9991724537,0.001206389581,0.9983455923,0.0004480181387
0.56,535.343675,-0.0008938299584,0.03715306292,0.9978739321,0.04013022826,0.03716381327,0.9986805393,0.001381149016,0.9973628195,0.001256031437
0.595,503.8528706,-0.0008165570735,0.03957969602,0.9972327138,0.04458108497,0.0395881182,0.9982287106,0.001567219103,0.9964605586,0.001972222279
0.63,475.8610444,-0.0007867312033,0.04199575224,0.9966357452,0.04866995414,0.04200312075,0.9978234178,0.001764262152,0.995651573,0.00258416481
0.665,450.8157263,-0.0008075770926,0.0443991328,0.9960915998,0.05238968843,0.04440647671,0.9974683727,0.001971935174,0.9949431546,0.003084910208
0.7,428.27494,-0.0008804726977,0.04678818723,0.9956053337,0.0557469397,0.04679647099,0.9971648318,0.002189909697,0.9943377019,0.003472388444
0.735,407.8808952,-0.001005120127,0.04916177136,0.9951787235,0.05875960857,0.04917204521,0.9969119236,0.00241789003,0.9938333834,0.003748726599
0.77,389.3408545,-0.001179768092,0.05151928598,0.9948106363,0.0614543746,0.05153279228,0.9967069992,0.002655628681,0.9934248423,0.003919529045
0.805,372.4129913,-0.001401470289,0.05386068925,0.9944974852,0.06386437286,0.05387891949,0.996545988,0.002902937965,0.9931039062,0.003993155861
0.84,356.8957833,-0.001666362879,0.0561864794,0.9942337265,0.06602706233,0.05621118423,0.9964237431,0.003159697233,0.9928602758,0.003980026954
0.875,342.619952,-0.0019699447,0.05849764843,0.994012363,0.06798231576,0.05853080858,0.9963343681,0.003425855554,0.992682173,0.0038919714
0.91,329.4422615,-0.002307345616,0.06079561055,0.9938254262,0.06977074702,0.06083937957,0.9962715167,0.003701430106,0.992556935,0.003741634924
0.945,317.2406963,-0.002673571284,0.06308211176,0.9936644177,0.07143228268,0.06313874253,0.9962286615,0.003986500808,0.992471546,0.003541953145
0.98,305.9106714,-0.003063715922,0.06535912783,0.9935206978,0.07300497672,0.06543089443,0.9961993292,0.004281201946,0.9924131036,0.003305694461
1.015,295.3620276,-0.003473138053,0.06762875867,0.9933858157,0.07452406228,0.06771788307,0.9961773008,0.004585711687,0.9923692146,0.003045073682
1.05,285.5166267,-0.00389759731,0.06989312606,0.993251779,0.07602122993,0.07000171666,0.9961567768,0.004900240336,0.9923283239,0.002771435755
1.085,276.3064129,-0.00433335289,0.07215428067,0.9931112652,0.07752411919,0.07228428713,0.9961325083,0.005225018166,0.9922799741,0.00249500773
1.12,267.6718375,-0.004777226192,0.07441412269,0.9929577775,0.07905600745,0.07456730883,0.9960998947,0.005560283546,0.9922150002,0.002224716284
1.155,259.5605697,-0.005226631411,0.07667433883,0.9927857513,0.08063567839,0.0768522733,0.996055049,0.005906271911,0.9921256606,0.001968067529
1.19,251.9264353,-0.005679578585,0.07893635681,0.9925906155,0.08227745058,0.07914041976,0.9959948337,0.006263206039,0.9920057088,0.001731085177
1.225,244.7285371,-0.006134653847,0.08120131726,0.9923688142,0.083991345,0.08143272009,0.9959168688,0.006631287902,0.9918504095,0.001518302572
