lam_um,f_THz,lmax,cond,solve_residual,eta_spread,Re_S11,Im_S11,Re_S21,Im_S21,absS11,absS21,absS11_cross,absS21_cross,R,T,A,n_open_orders,R_higher_orders,T_higher_orders,absS11_uncoupled,absS21_uncoupled,sigma_ext_um2,sigma_sca_um2,sigma_abs_um2
29.9792458,10,3,93.09978821,5.59441997e-16,5.434651134e-15,-0.4341015472,0.4571166345,0.5578717651,0.4301518504,0.6303965187,0.7044512196,1.912493569e-14,1.988938146e-14,0.3973997708,0.4962515208,0.1063487084,1,0,0,0.8097033146,1.128300898,23.19321724,20.53589197,2.657325272
27.25385982,11,3,71.15738022,6.109469657e-16,4.635757253e-15,-0.5164375292,0.470185591,0.473673624,0.450883169,0.6984140689,0.6539589698,1.617161188e-14,1.669316326e-14,0.4877822116,0.4276623341,0.08455545425,1,0,0,1.001519007,1.161078758,40.32383179,36.87431962,3.449512171
24.98270483,12,3,59.49177797,4.631142257e-16,4.294046612e-15,-0.5912732007,0.4667282003,0.3943410033,0.4570935847,0.7532856104,0.6036881414,1.383398689e-14,1.472934517e-14,0.5674392108,0.3644393721,0.06812141709,1,0,0,1.231117745,1.190634069,69.470397,64.73838213,4.732014865
23.06095831,13,3,51.18884442,5.04251055e-16,3.295019052e-15,-0.6563119795,0.4408893023,0.3273906199,0.4410010711,0.7906508656,0.5492418071,9.233419992e-15,1.046622485e-14,0.6251287913,0.3016665627,0.07320464603,1,0,0,1.49876392,1.199820497,116.0911086,108.9853661,7.105742576
21.413747,14,3,43.40190829,3.860610512e-16,3.149195375e-15,-0.7288738313,0.4023963297,0.2553379256,0.4035756225,0.8325742418,0.4775675233,6.516373988e-15,7.536596546e-15,0.6931798681,0.2280707393,0.07874939256,1,0,0,1.764131333,1.161465109,177.5881888,167.1526697,10.43551905
19.98616387,15,3,34.61530226,4.761772595e-16,3.303340006e-15,-0.8121516199,0.3456922292,0.1757866434,0.3388024802,0.8826626598,0.3816910591,2.470713557e-15,2.670334334e-15,0.7790933711,0.1456880646,0.07521856432,1,0,0,1.922679799,1.053500169,229.8488929,216.5003731,13.34851977
18.73702863,16,3,25.58214875,4.221286376e-16,2.748163126e-15,-0.8888974425,0.2608700053,0.106126176,0.2447134752,0.9263864329,0.2667347937,2.439186815e-15,2.051356652e-15,0.858191823,0.07114745017,0.07066072682,1,0,0,1.897992312,0.9038499777,242.6454548,228.2484005,14.39705434
17.63485047,17,3,17.95434063,3.022799978e-16,2.920438609e-15,-0.9428761389,0.1482001981,0.06323181497,0.1290416852,0.954452048,0.1437011446,2.994714668e-15,2.581677387e-15,0.910978712,0.02065001895,0.06837126906,1,0,0,1.742190871,0.7867323135,218.5327627,205.4322937,13.100469
16.65513656,18,3,12.41441222,3.421113673e-16,4.823993541e-15,-0.9634130427,0.02170276202,0.05185638881,0.003454821474,0.9636574603,0.05197134645,3.175249953e-15,2.90754246e-15,0.9286357007,0.002701020851,0.06866327845,1,0,0,1.549814755,0.7433475608,181.5334088,171.1337971,10.39961172
15.77855042,19,3,8.640855354,2.533203253e-16,1.397699997e-15,-0.9487148084,-0.09655022302,0.06691570371,-0.1198012422,0.9536150865,0.1372226258,6.383353404e-16,9.090852526e-16,0.9093817332,0.01883004904,0.07178821776,1,0,0,1.361889849,0.751308627,146.6744795,138.6803508,7.994128627
14.9896229,20,3,6.146170684,1.948595361e-16,6.261459592e-15,-0.9019627115,-0.1991813006,0.1053533171,-0.233210916,0.9236936307,0.2559036005,6.413059923e-16,9.108907511e-16,0.8532099235,0.06548665276,0.08130342377,1,0,0,1.184507004,0.7770199901,117.6228756,110.6293818,6.993493765
14.27583133,21,3,4.608201997,2.219081558e-16,2.436831947e-15,-0.8324176149,-0.3010769572,0.163284943,-0.3305513326,0.8851928715,0.368681646,1.055022687e-15,1.111156371e-15,0.7835664197,0.1359261561,0.08050742416,1,0,0,1.030072959,0.7967283155,94.33549207,87.58016479,6.75532728
13.62692991,22,3,3.513287511,1.750999445e-16,5.131669097e-15,-0.7436022306,-0.3741482944,0.251652285,-0.4034588082,0.8324249057,0.4755080257,1.034562481e-15,8.437300866e-16,0.6929312236,0.2261078825,0.08096089397,1,0,0,0.900904984,0.8256916179,75.12644049,69.30667435,5.81976614
