lam_um,f_THz,side,n1,n2,kz_rad_per_um,Re_S_TE,Im_S_TE,Re_S_TM,Im_S_TM,power
29.9792458,10,trans,0,0,0.2095845022,2.263597131e-14,1.795850325e-14,0.6245568115,0.4474950087,0.5903229936
29.9792458,10,refl,0,0,0.2095845022,1.272211877e-14,1.117847056e-14,-0.3829303591,0.4809599515,0.3779581348
27.25385982,11,trans,0,0,0.2305429524,-8.670705553e-15,-9.818720186e-15,0.5227409882,0.4440807351,0.47046584
27.25385982,11,refl,0,0,0.2305429524,-8.520900815e-15,-7.096009119e-15,-0.4722660666,0.472699452,0.4464800096
24.98270483,12,trans,0,0,0.2515014026,5.913315963e-15,-8.981875929e-15,0.4262981901,0.4591844131,0.3925804721
24.98270483,12,refl,0,0,0.2515014026,2.76377694e-14,8.007551258e-15,-0.5660058393,0.4777406163,0.5485987067
23.06095831,13,trans,0,0,0.2724598529,5.191682918e-14,-1.981420848e-13,0.3906675294,0.428555417,0.3362808639
23.06095831,13,refl,0,0,0.2724598529,1.368136163e-13,-1.128191161e-13,-0.5825367351,0.4677842207,0.5581711248
21.413747,14,trans,0,0,0.2934183031,1.016894497e-13,-9.711699157e-14,0.3278408647,0.4091971687,0.2749219554
21.413747,14,refl,0,0,0.2934183031,1.143312128e-13,-5.197596353e-14,-0.6598659263,0.4274126548,0.6181046182
19.98616387,15,trans,0,0,0.3143767533,8.905004597e-13,5.053813513e-13,0.4605439376,0.3544117029,0.3377083736
19.98616387,15,refl,0,0,0.3143767533,9.278399881e-13,5.229869842e-13,-0.5172529955,0.3506315548,0.3904931486
18.73702863,16,trans,0,0,0.3353352035,1.550250159e-14,1.084469533e-14,0.2541969049,0.3635587337,0.1967910193
18.73702863,16,refl,0,0,0.3353352035,5.564311503e-15,6.693421728e-15,-0.7447827322,0.3729275906,0.693776306
17.63485047,17,trans,0,0,0.3562936537,6.287142262e-14,3.527129904e-14,0.09339602774,0.3270419056,0.115679226
17.63485047,17,refl,0,0,0.3562936537,5.482534259e-14,2.273031745e-14,-0.8984481009,0.3321304988,0.9175196583
16.65513656,18,trans,0,0,0.377252104,-2.681927763e-14,5.78162913e-15,-0.06021580309,0.05849703035,0.007047845502
16.65513656,18,refl,0,0,0.377252104,-1.594417664e-14,-2.732519167e-15,-1.042675191,0.06141137097,1.090942911
15.77855042,19,trans,0,0,0.3982105542,8.500687083e-16,4.849450664e-16,0.0007592000726,-0.1126498064,0.01269055527
15.77855042,19,refl,0,0,0.3982105542,5.025791236e-15,-6.051845445e-16,-1.009464307,-0.100357999,1.029089914
14.9896229,20,trans,0,0,0.4191690044,3.056608487e-15,2.17996202e-15,0.0446473035,-0.2464994052,0.06275533849
14.9896229,20,refl,0,0,0.4191690044,6.649306702e-15,2.942760207e-15,-0.9651680814,-0.2208890971,0.9803414187
14.27583133,21,trans,0,0,0.4401274546,1.935599128e-15,-2.447609167e-15,0.1820029466,-0.3654905812,0.1667084375
14.27583133,21,refl,0,0,0.4401274546,3.342927456e-15,-1.384695394e-15,-0.8160109699,-0.3244674791,0.7711530479
13.62692991,22,trans,0,0,0.4610859048,2.102780025e-15,-1.385809059e-16,0.2726949299,-0.4255420418,0.2554485542
13.62692991,22,refl,0,0,0.4610859048,3.166589272e-15,4.413862094e-16,-0.7228912819,-0.3874105774,0.672658761
13.0344547,23,trans,0,0,0.482044355,1.084571398e-16,-4.265552725e-16,0.3694845542,-0.4624471626,0.350376214
13.0344547,23,refl,0,0,0.482044355,9.718374076e-16,-2.997612965e-16,-0.6237969428,-0.4295103424,0.5736017601
12.49135242,24,trans,0,0,0.5030028053,1.393130161e-16,1.790530451e-16,0.4665864967,-0.4779075914,0.4460986248
