f_THz,lam_um,Re_S11,Im_S11,Re_S21,Im_S21,absS11,absS21,R,T,A
0,inf,2.472703073e-05,2.049885516e-06,0.9997356134,0.0004430961404,2.481185361e-05,0.9997357116,6.156280795e-10,0.999471493,0.0005285063474
0.01,29979.2458,7.587386762e-06,0.0001373268505,0.999992369,0.000162685559,0.0001375362945,0.9999923823,1.891623231e-08,0.9999847646,1.521646915e-05
0.035,8565.4988,-3.073881414e-05,0.0004784625143,0.9999999136,-0.0004156975949,0.0004794489047,1,2.298712523e-07,1,-2.298712523e-07
0.07,4282.7494,-7.418027471e-05,0.0009626835776,0.9999995454,-0.0009535246642,0.0009655373549,1,9.322623837e-07,1,-9.322623837e-07
0.105,2855.166267,-0.0001067302246,0.001453982708,0.9999992687,-0.001209391261,0.001457894734,1,2.125457055e-06,1,-2.125457054e-06
0.14,2141.3747,-0.0001295318518,0.001951666806,0.9999992554,-0.001220303707,0.001955960588,1,3.825781822e-06,1,-3.825781822e-06
0.175,1713.09976,-0.0001437263461,0.002455077244,0.9999994788,-0.001021000688,0.002459280695,1,6.048061538e-06,1,-6.048061538e-06
0.21,1427.583133,-0.0001504409365,0.002963587417,0.9999997927,-0.0006438396793,0.002967403386,1,8.805482856e-06,1,-8.805482856e-06
0.245,1223.642686,-0.0001507774507,0.003476600746,0.999999993,-0.0001187195075,0.00347986876,1,1.210948659e-05,1,-1.210948659e-05
0.28,1070.68735,-0.0001458015707,0.003993549196,0.9999998612,0.0005269624807,0.003996209864,1,1.596969328e-05,1,-1.596969328e-05
0.315,951.7220889,-0.0001365329562,0.00451389235,0.9999991957,0.001268320749,0.004515956754,1,2.03938654e-05,1,-2.03938654e-05
0.35,856.54988,-0.0001239363981,0.005037117037,0.9999978306,0.002082961929,0.005038641511,1,2.538790828e-05,1,-2.538790828e-05
0.385,778.6817091,-0.0001089141443,0.005562737474,0.999995646,0.002950938105,0.005563803599,1,3.095591049e-05,1,-3.095591049e-05
0.42,713.7915667,-9.229951801e-05,0.006090295872,0.9999925707,0.003854676116,0.006090995239,1,3.710022301e-05,1,-3.710022301e-05
0.455,658.8845231,-7.485191756e-05,0.006619363415,0.9999885811,0.004778886133,0.006619786615,1,4.382157483e-05,1,-4.382157483e-05
0.49,611.8213429,-5.725325052e-05,0.007149541494,0.9999836952,0.005710452761,0.007149770732,1,5.111922151e-05,1,-5.111922151e-05
0.525,571.0332533,-4.010581806e-05,0.007680463078,0.9999779662,0.006638311927,0.007680567789,1,5.899112156e-05,1,-5.899112156e-05
0.56,535.343675,-2.393162491e-05,0.008211794095,0.9999714733,0.007553316653,0.008211828967,1,6.743413498e-05,1,-6.743413498e-05
0.595,503.8528706,-9.173054653e-06,0.0087432347,0.9999643142,0.008448094684,0.008743239512,1,7.644423717e-05,1,-7.644423717e-05
0.63,475.8610444,3.80518699e-06,0.009274520307,0.9999565967,0.009316900728,0.009274521087,1,8.60167414e-05,1,-8.60167414e-05
0.665,450.8157263,1.471298639e-05,0.009805422279,0.9997843174,0.01015379909,0.009805433317,0.999835877,9.614652254e-05,0.999671781,0.0002320724452
0.7,428.27494,2.33307436e-05,0.01033574822,0.999559825,0.01095667972,0.01033577455,0.999619874,0.0001068282356,0.9992398925,0.0006532792633
0.735,407.8808952,2.950446796e-05,0.01086534178,0.9993577236,0.01172454559,0.01086538184,0.9994264979,0.0001180565226,0.9988533247,0.001028618795
0.77,389.3408545,3.314022325e-05,0.01139408198,0.9991794538,0.01245674722,0.01139413018,0.9992570997,0.0001298262025,0.9985147514,0.001355422407
0.805,372.4129913,3.419810078e-05,0.011921882,0.9990257599,0.01315351198,0.01192193105,0.9991123479,0.0001421324399,0.9982254838,0.001632383801
0.84,356.8957833,3.268589368e-05,0.0124486875,0.9988967662,0.01381580614,0.01244873041,0.9989923052,0.0001549708889,0.9979856259,0.001859403185
0.875,342.619952,2.865263662e-05,0.01297447452,0.9987920538,0.01444520507,0.01297450616,0.9988965065,0.0001683378101,0.9977942307,0.002037431453
0.91,329.4422615,2.218215952e-05,0.01349924693,0.9987107379,0.0150437723,0.01349926515,0.9988240351,0.0001822301597,0.9976494531,0.002168316733
0.945,317.2406963,1.338678681e-05,0.01402303358,0.9986515427,0.01561394782,0.01402303997,0.9987735975,0.00019664565,0.997548699,0.002254655339
0.98,305.9106714,2.401293786e-06,0.01454588525,0.9986128745,0.01615844605,0.01454588545,0.9987435949,0.0002115827834,0.9974887684,0.002299648773
1.015,295.3620276,-1.062278961e-05,0.01506787137,0.9985928916,0.01668016349,0.01506787511,0.9987321918,0.0002270408604,0.997465991,0.002306968161
1.05,285.5166267,-2.552245708e-05,0.01558907671,0.9985895696,0.01718209612,0.0155890976,0.9987373793,0.0002430199639,0.9974763528,0.002280627192
1.085,276.3064129,-4.212803617e-05,0.01610959803,0.9986007622,0.01766726639,0.01610965311,0.9987570348,0.0002595209235,0.9975156147,0.002224864419
1.12,267.6718375,-6.026749746e-05,0.01662954086,0.9986242578,0.01813865966,0.01662965007,0.9987889763,0.0002765452613,0.9975794192,0.002144035544
1.155,259.5605697,-7.977024651e-05,0.01714901633,0.9986578291,0.01859916976,0.01714920186,0.9988310111,0.0002940951244,0.9976633888,0.00204251612
1.19,251.9264353,-0.0001004703956,0.01766813829,0.9986992791,0.01905155331,0.01766842395,0.9988809798,0.0003121732049,0.9977632118,0.001924614957
1.225,244.7285371,-0.0001222095235,0.01818702058,0.9987464802,0.01949839243,0.01818743118,0.9989367943,0.0003307826528,0.997874719,0.001794498326
1.26,237.9305222,-0.000144838942,0.01870577465,0.9987974079,0.01994206537,0.01870633538,0.9989964705,0.0003499269835,0.9979939481,0.001656124962
1.295,231.4999676,-0.000168221492,0.01922450739,0.9988501696,0.02038472446,0.01922524338,0.9990581556,0.000369609983,0.9981171983,0.001513191709
1.33,225.4078632,-0.0001922329016,0.01974331938,0.9989030271,0.02082828105,0.01974425521,0.9991201503,0.0003898356138,0.9982410748,0.00136908956
1.365,219.6281744,-0.0002167627379,0.02026230336,0.9989544146,0.02127439659,0.02026346277,0.9991809257,0.0004106079234,0.9983625223,0.001226869727
1.4,214.13747,-0.0002417149888,0.02078154303,0.9990029513,0.02172447958,0.0207829487,0.9992391354,0.0004319309569,0.9984788497,0.001089219299
1.435,208.9146049,-0.0002670083113,0.02130111225,0.9990474497,0.02217968745,0.02130278565,0.9992936232,0.0004538086767,0.9985877454,0.0009584459378
1.47,203.9404476,-0.0002925759847,0.02182107441,0.9990869193,0.02264093304,0.02182303575,0.9993434265,0.0004762448893,0.9986872841,0.0008364710269
1.505,199.1976465,-0.0003183656028,0.02234148215,0.9991205659,0.02310889491,0.02234375039,0.9993877757,0.0004992431813,0.9987759262,0.00072483057
1.54,194.6704273,-0.0003443385435,0.02286237729,0.9991477886,0.02358403091,0.02286497024,0.9994260903,0.0005228068642,0.99885251,0.0006246831346
1.575,190.3444178,-0.0003704692478,0.02338379103,0.9991681721,0.02406659444,0.02338672551,0.9994579716,0.0005469389302,0.998916237,0.0005368240588
1.61,186.2064957,-0.0003967443426,0.02390574432,0.9991814768,0.02455665276,0.02390903632,0.9994831929,0.0005716420177,0.9989666529,0.0004617051203
1.645,182.2446553,-0.000423161638,0.02442824843,0.9991876273,0.02505410692,0.0244319133,0.9995016872,0.0005969183873,0.9990036228,0.0003994588468
1.68,178.4478917,-0.0004497290272,0.02495130562,0.9991866971,0.02555871263,0.02495535831,0.9995135334,0.0006227699085,0.9990273035,0.0003499266362
1.715,174.806098,-0.0004764633185,0.02547490998,0.9991788938,0.02607010173,0.0254793653,0.9995189403,0.0006491980559,0.9990381121,0.0003126898635
1.75,171.309976,-0.0005033890231,0.02599904834,0.9991645418,0.02658780372,0.02600392115,0.9995182304,0.0006762039149,0.9990366929,0.0002871031643
1.785,167.9509569,-0.0005305371227,0.02652370123,0.9991440646,0.02711126705,0.0265290067,0.9995118222,0.0007037881963,0.9990238827,0.0002723291143
1.82,164.7211308,-0.0005579438389,0.02704884392,0.9991179671,0.02763987965,0.02705459774,0.9995002127,0.0007319512589,0.9990006752,0.0002673735625
1.855,161.6131849,-0.0005856494233,0.02757444748,0.9990868174,0.02817298856,0.02758066604,0.9994839598,0.0007606931392,0.9989681859,0.0002711209222
1.89,158.6203481,-0.0006136969853,0.02810047977,0.999051229,0.02870991834,0.02810718035,0.999463665,0.0007900135871,0.9989276176,0.0002823687801
1.925,155.7363418,-0.000642131375,0.02862690648,0.9990118442,0.02924998797,0.02863410741,0.9994399565,0.0008199121072,0.9988802266,0.0002998612455
1.96,152.9553357,-0.0006709981315,0.02915369213,0.9989693173,0.02979252619,0.02916141292,0.9994134737,0.0008503880035,0.9988272915,0.0003223205303
1.995,150.2719088,-0.0007003425116,0.02968080099,0.9989242998,0.0303368851,0.02968906242,0.9993848524,0.0008814404273,0.9987700833,0.0003484763208
2.03,147.6810138,-0.0007302086043,0.03020819793,0.9988774265,0.0308824519,0.03021702214,0.9993547113,0.0009130684271,0.998709839,0.000377092575
2.065,145.1779458,-0.0007606385421,0.03073584922,0.9988293032,0.0314286588,0.03074525977,0.99932364,0.0009452709985,0.9986477375,0.0004069914554
2.1,142.7583133,-0.0007916718115,0.03126372324,0.9987804957,0.0319749911,0.03127374514,0.9992921888,0.0009780471349,0.9985848787,0.0004370741789
2.135,140.4180131,-0.0008233446683,0.03179179106,0.9987315207,0.03252099332,0.03180245077,0.9992608596,0.001011395875,0.9985222655,0.0004663386368
2.17,138.1532065,-0.0008556896581,0.032320027,0.9986828383,0.0330662737,0.03233135243,0.9992300986,0.00104531635,0.9984607899,0.0004938937083
2.205,135.9602984,-0.0008887352417,0.03284840901,0.9986348461,0.03361050687,0.03286042947,0.9992002912,0.001079807825,0.9984012219,0.0005189702541
2.24,133.8359187,-0.0009225055254,0.03337691903,0.9985878751,0.03415343504,0.03338966517,0.9991717577,0.00111486974,0.9983442014,0.0005409288345
2.275,131.7769046,-0.0009570200906,0.03390554313,0.9985421875,0.03469486761,0.0339190469,0.9991447513,0.001150501743,0.998290234,0.0005592642555
2.31,129.7802848,-0.0009922939206,0.03443427173,0.9984979752,0.03523467957,0.03444856625,0.9991194569,0.001186703716,0.9982396892,0.0005736070886
2.345,127.8432657,-0.001028337417,0.03496309952,0.998455361,0.03577280859,0.03497821902,0.9990959923,0.001223475806,0.9981928018,0.0005837223578
2.38,125.9632176,-0.0010651565,0.0354920255,0.9984144,0.03630925122,0.03550800519,0.9990744096,0.001260818432,0.9981496759,0.0005895056183
2.415,124.1376638,-0.001102752786,0.03602105277,0.998375083,0.0368440581,0.03603792872,0.9990546987,0.001298732306,0.998110291,0.0005909766833
2.45,122.3642686,-0.00114112383,0.03655018836,0.9983373406,0.03737732855,0.03656799738,0.9990367913,0.001337218432,0.9980745103,0.0005882712786
2.485,120.6408282,-0.001180263432,0.0370794429,0.9983010484,0.03790920454,0.03709822243,0.9990205658,0.001376278107,0.998042091,0.0005816309175
