lam_um,f_THz,lmax,cond,solve_residual,eta_spread,Re_S11,Im_S11,Re_S21,Im_S21,absS11,absS21,absS11_cross,absS21_cross,R,T,A,n_open_orders,R_higher_orders,T_higher_orders,absS11_uncoupled,absS21_uncoupled,sigma_ext_um2,sigma_sca_um2,sigma_abs_um2
29.9792458,10,3,6.460775798,2.916578121e-16,5.434651134e-15,-0.03295969653,0.1597699649,0.9682106132,0.1546096439,0.1631342492,0.9804774008,1.492183919e-15,6.57868897e-16,0.02661278327,0.9613359335,0.01205128324,1,0,0,0.1716454642,1.004145189,1.250940382,0.9893090309,0.2616313515
27.25385982,11,3,5.27333189,3.498916669e-16,4.635757253e-15,-0.03416968788,0.1826926159,0.959320976,0.17554428,0.1858605915,0.9752499829,1.343747839e-15,6.546113826e-16,0.03454415946,0.9511125292,0.01434331139,1,0,0,0.1984049582,1.003105518,1.956549899,1.547789271,0.4087606277
24.98270483,12,3,4.981353913,4.446989707e-16,4.294046612e-15,-0.03944415379,0.2063477451,0.9483779533,0.197510192,0.2100838717,0.968726493,1.112239489e-15,8.252758709e-16,0.04413523316,0.9384310183,0.01743374851,1,0,0,0.2285965813,1.000183923,3.068466203,2.407964871,0.6605013316
23.06095831,13,3,4.565380053,4.884100924e-16,3.295019052e-15,-0.05099805589,0.2268725226,0.9378731791,0.2176691344,0.2325337464,0.9628010968,1.265087066e-15,1.100323094e-15,0.05407194321,0.9269859521,0.01894210472,1,0,0,0.2609012919,0.9947919464,4.727621136,3.697881134,1.029740002
21.413747,14,3,3.964733301,3.41430068e-16,3.149195375e-15,-0.06430021132,0.2438251939,0.9287570674,0.2372337745,0.2521611437,0.9585768378,1.18405283e-15,1.087250904e-15,0.06358524237,0.9188695541,0.01754520357,1,0,0,0.2946347703,0.9875119619,6.914542405,5.528461503,1.386080902
19.98616387,15,3,3.551317688,4.220483116e-16,3.303340006e-15,-0.07711430495,0.26268267,0.9176890003,0.2592493554,0.2737677869,0.953605437,5.789728583e-16,5.999262659e-16,0.07494880113,0.9093633295,0.01568786937,1,0,0,0.3326584469,0.9777981833,9.756105937,8.0865622,1.669543737
18.73702863,16,3,3.442312601,2.694669438e-16,2.748163126e-15,-0.092464511,0.2912025717,0.9008337042,0.2831454943,0.3055300698,0.944284244,8.337077779e-16,9.137985623e-16,0.09334862354,0.8916727335,0.01497864298,1,0,0,0.3817909413,0.9632925125,13.64029333,11.78412408,1.856169248
17.63485047,17,3,3.555730756,3.877956524e-16,2.920438609e-15,-0.1166811706,0.326503005,0.8772929164,0.3071386389,0.3467256954,0.9295036335,1.160139899e-15,9.700008628e-16,0.1202187079,0.8639770047,0.01580428741,1,0,0,0.4434950516,0.9401648136,19.14840613,17.17447711,1.97392902
16.65513656,18,3,3.711561466,2.410064038e-16,4.823993541e-15,-0.1499167613,0.357629226,0.8487354463,0.3315140453,0.3877804773,0.9111824297,7.821192828e-16,9.490408147e-16,0.1503736986,0.8302534201,0.01937288132,1,0,0,0.5110761693,0.9044609327,26.93306473,24.73537914,2.197685582
15.77855042,19,3,3.790155838,1.166737736e-16,1.397699997e-15,-0.1872904914,0.3815732723,0.8160444307,0.3615546413,0.4250598667,0.8925526716,1.445291526e-15,1.713076615e-15,0.1806758903,0.7966502716,0.02267383813,1,0,0,0.5775380462,0.8544104885,37.24240581,34.64755572,2.594850088
14.9896229,20,3,3.85359151,2.217121874e-16,6.261459592e-15,-0.2327535687,0.4060399642,0.7693980866,0.3996933765,0.4680199529,0.8670226126,1.294795673e-15,1.794166777e-15,0.2190426763,0.7517282108,0.02922911289,1,0,0,0.6452890679,0.7843721953,50.47767585,47.16023607,3.317439787
14.27583133,21,3,4.00626253,2.297232721e-16,2.436831947e-15,-0.2959273157,0.4427281707,0.7013278066,0.4315144452,0.5325234355,0.8234472713,5.557689258e-16,6.031528469e-16,0.2835812093,0.6780654087,0.03835338201,1,0,0,0.7084709808,0.6834840735,65.76784754,61.22931824,4.538529301
13.62692991,22,3,4.074921422,2.400271606e-16,5.131669097e-15,-0.3732885259,0.4655853826,0.6237635551,0.453036042,0.5967529405,0.770923231,2.404468984e-16,2.126903253e-16,0.356114072,0.594322628,0.04956329992,1,0,0,0.7655876863,0.5520649363,81.66491866,76.19887562,5.466043034
13.0344547,23,3,4.092687798,2.962112119e-16,9.417132362e-15,-0.4704712601,0.4750572555,0.5268813819,0.4602934406,0.6685974892,0.6996242149,9.188569746e-16,8.750608166e-16,0.4470226026,0.489474042,0.06350335539,1,0,0,0.8005984469,0.4031080669,94.42260033,88.28749057,6.135109768
12.49135242,24,3,4.051320683,2.849185807e-16,1.620648377e-14,-0.5871052541,0.4588313883,0.4108993958,0.4414674107,0.7451300707,0.6031018059,6.11437652e-16,7.162068826e-16,0.5552188223,0.3637317882,0.0810493895,1,0,0,0.8072046372,0.2676634517,101.1158036,94.68809297,6.427710615
11.99169832,25,3,3.959382841,2.947683338e-16,2.109356518e-14,-0.7150207888,0.4008522898,0.2836029721,0.381171993,0.8197178092,0.4751028667,5.231660355e-16,7.100714803e-16,0.6719372867,0.225722734,0.1023399793,1,0,0,0.7870632052,0.2121028965,101.033739,94.6820483,6.351690687
11.53047915,26,3,3.828569812,2.115126775e-16,7.974679848e-15,-0.8332704828,0.2872227067,0.1655852345,0.2659884306,0.8813833336,0.3133182329,9.547145408e-16,1.130419203e-15,0.7768365807,0.09816831509,0.1249951042,1,0,0,0.7481442643,0.269685719,95.71719417,89.7121129,6.005081268
11.10342437,27,3,3.656466238,1.959371337e-16,2.686209443e-14,-0.9077628364,0.119332456,0.09071765809,0.09737011893,0.9155728274,0.1330813043,7.974187635e-16,5.238366818e-16,0.8382736023,0.01771063355,0.1440157642,1,0,0,0.6994878278,0.3668976422,87.4880404,81.95509955,5.532940848
10.7068735,28,3,3.436262381,1.651807359e-16,4.716266816e-15,-0.9082565739,-0.07319129649,0.08957456414,-0.09532031691,0.9112008395,0.1308035372,1.370877728e-15,1.502766695e-15,0.8302869699,0.01710956536,0.1526034647,1,0,0,0.6482587704,0.4603976977,78.26327254,73.23643476,5.026837775
10.33767097,29,3,3.176998736,2.983842867e-16,1.338095656e-14,-0.8336473387,-0.2438814478,0.1637893681,-0.2659313447,0.8685885366,0.3123242501,7.854966313e-16,8.595594857e-16,0.7544460459,0.09754643721,0.1480075169,1,0,0,0.5986832548,0.5407468919,69.20705149,64.66930042,4.537751075
9.993081933,30,3,2.907263805,2.105570252e-16,2.209051036e-14,-0.7139035442,-0.360699427,0.2837174794,-0.3826397581,0.7998514531,0.4763494438,1.038460043e-16,2.429576687e-16,0.6397623471,0.2269087926,0.1333288604,1,0,0,0.5526176436,0.6077581827,60.87433724,56.77752921,4.096808033
