f_THz,lam_um,Re_S11,Im_S11,Re_S21,Im_S21,absS11,absS21,R,T,A
0,inf,-8.576156256e-05,-9.2092735e-06,0.9999997689,0.0006798848541,8.625460179e-05,1,7.43985633e-09,1,-7.439856287e-09
0.01,29979.2458,2.180758774e-05,0.00140856973,0.9999740138,0.001483229204,0.001408738533,0.9999751138,1.984544255e-06,0.9999502282,4.778727697e-05
0.035,8565.4988,0.0002162720667,0.004969508605,0.9991620134,0.0038426844,0.004974212439,0.9991694027,2.474278939e-05,0.9983394952,0.001635761996
0.07,4282.7494,0.0003315320747,0.009981393101,0.9983454072,0.007852008565,0.009986897504,0.9983762849,9.973812176e-05,0.9967552062,0.003145055704
0.105,2855.166267,0.0002953258269,0.0150090142,0.9978299044,0.01248700227,0.01501191941,0.9979080335,0.0002253577245,0.9958204433,0.003954198952
0.14,2141.3747,0.0001381524875,0.02004136369,0.9975356886,0.01755792346,0.02004183986,0.9976901977,0.0004016753448,0.9953857306,0.004212594014
0.175,1713.09976,-0.0001148441146,0.02507207858,0.9973870867,0.02290708381,0.02507234161,0.9976501066,0.0006286223137,0.9953057352,0.004065642532
0.21,1427.583133,-0.0004438579717,0.03009795597,0.99731575,0.0284083,0.0301012286,0.9977202698,0.0009060839632,0.9954457367,0.003648179295
0.245,1223.642686,-0.0008340440936,0.03511778901,0.9972628942,0.03396521963,0.03512769185,0.9978411278,0.001233954735,0.9956869163,0.003079128971
0.28,1070.68735,-0.001274937605,0.04013150189,0.9971806458,0.03950869793,0.04015174853,0.9979630141,0.00161216291,0.9959301775,0.002457659583
0.315,951.7220889,-0.001759778015,0.04513953873,0.9970325724,0.04499344383,0.04517382843,0.9980472736,0.002040674775,0.9960983603,0.001860964885
0.35,856.54988,-0.002284811232,0.050142456,0.9967934939,0.05039418016,0.05019448431,0.9980665523,0.002519486256,0.9961368428,0.001343670909
0.385,778.6817091,-0.002848615529,0.05514067134,0.9964486876,0.0557015703,0.0552142033,0.9980043347,0.003048608246,0.996012652,0.0009387397265
0.42,713.7915667,-0.003451479491,0.06013432875,0.9959926115,0.06091815327,0.06023329814,0.9978538488,0.003628050205,0.9957123035,0.0006596462854
0.455,658.8845231,-0.004094848275,0.06512324793,0.9954272761,0.06605450308,0.06525185977,0.9976164891,0.004257805203,0.9952386593,0.0005035354791
0.49,611.8213429,-0.004780846919,0.0701069323,0.9947604011,0.07112579003,0.0702697549,0.9972999216,0.004937838453,0.9946071337,0.0004550278815
0.525,571.0332533,-0.005511884545,0.07508461617,0.9940034892,0.0761488745,0.07528665523,0.9969160384,0.005668080456,0.9938415877,0.0004903318723
0.56,535.343675,-0.006290339868,0.08005533524,0.9931699445,0.0811400133,0.08030208637,0.9964789212,0.006448425076,0.9929702404,0.0005813344751
0.595,503.8528706,-0.007118325791,0.08501800833,0.9922733516,0.08611320798,0.08531548688,0.9960029563,0.007278732302,0.9920218889,0.0006993788017
0.63,475.8610444,-0.007997528652,0.08997152032,0.9913260111,0.09107917782,0.09032626934,0.9955012189,0.008158834933,0.9910226768,0.0008184882241
0.665,450.8157263,-0.008929115708,0.09491479867,0.9903378047,0.09604490091,0.09533387705,0.9949842162,0.009088548114,0.9899935905,0.0009178614007
0.7,428.27494,-0.00991370274,0.09984687738,0.9893154359,0.1010136361,0.1003378315,0.9944590421,0.01006768042,0.9889487865,0.0009835331023
0.735,407.8808952,-0.01095137227,0.1047669443,0.9882620597,0.1059853192,0.1053377671,0.9939289645,0.01109604517,0.9878947866,0.001009168258
0.77,389.3408545,-0.01204173197,0.1096743695,0.9871772888,0.1109572177,0.110333452,0.9933934284,0.01217347063,0.9868305037,0.0009960256922
0.805,372.4129913,-0.01318400228,0.1145687136,0.9860575339,0.1159247297,0.1153247938,0.9928484291,0.01329980806,0.9857480031,0.0009521888155
