lam_um,f_THz,side,n1,n2,kz_rad_per_um,Re_S_TE,Im_S_TE,Re_S_TM,Im_S_TM,power
29.9792458,10,trans,0,0,0.2095845022,-4.79764965e-14,-7.798378527e-15,0.2350858262,0.4859456379,0.2914085087
29.9792458,10,refl,0,0,0.2095845022,-4.81688851e-14,-3.303814691e-15,-0.7451734462,0.5173833596,0.8229690056
27.25385982,11,trans,0,0,0.2305429524,-1.603524835e-14,-3.181546468e-14,0.1542775382,0.3590904501,0.1527475101
27.25385982,11,refl,0,0,0.2305429524,-1.70149842e-14,-2.865833854e-14,-0.8221304727,0.3931495473,0.8304650806
24.98270483,12,trans,0,0,0.2515014026,4.028928136e-15,-2.862016798e-14,0.09042862428,0.2665000709,0.07919962389
24.98270483,12,refl,0,0,0.2515014026,3.018927673e-15,-2.681622683e-14,-0.8805374589,0.3072628403,0.8697566696
23.06095831,13,trans,0,0,0.2724598529,8.616891856e-15,-1.386938213e-14,0.05113548177,0.2081691887,0.04594924863
23.06095831,13,refl,0,0,0.2724598529,8.012951825e-15,-1.32728995e-14,-0.9229216543,0.2522591371,0.9154190523
21.413747,14,trans,0,0,0.2934183031,6.12430516e-15,-8.308161363e-15,0.0275093842,0.151455916,0.02369566071
21.413747,14,refl,0,0,0.2934183031,5.631244671e-15,-8.290357483e-15,-0.9545619662,0.190207833,0.9473675671
19.98616387,15,trans,0,0,0.3143767533,3.195848486e-15,-4.084782825e-15,0.01076359622,0.0674880941,0.004670497848
19.98616387,15,refl,0,0,0.3143767533,2.980652663e-15,-3.883174552e-15,-0.9774280662,0.09313760422,0.964040238
18.73702863,16,trans,0,0,0.3353352035,2.66464405e-15,-4.453407213e-15,0.01316311047,-0.03990110782,0.001765365882
18.73702863,16,refl,0,0,0.3353352035,3.046573018e-15,-4.015721266e-15,-0.9773307422,-0.0202911269,0.9555871095
17.63485047,17,trans,0,0,0.3562936537,3.042122266e-16,-2.292066227e-15,0.03687461438,-0.1488340871,0.02351132268
17.63485047,17,refl,0,0,0.3562936537,9.218998054e-16,-2.255850579e-15,-0.9533673353,-0.120063523,0.9233245256
16.65513656,18,trans,0,0,0.377252104,-8.544166319e-16,-1.299102543e-15,0.0759653196,-0.2450350817,0.06581292103
16.65513656,18,refl,0,0,0.377252104,-6.743233558e-16,-1.742761075e-15,-0.9139648512,-0.2048639951,0.8773010057
15.77855042,19,trans,0,0,0.3982105542,-1.573642647e-16,-2.142355414e-15,0.1328284769,-0.3272687408,0.124748233
15.77855042,19,refl,0,0,0.3982105542,-9.088941559e-16,-2.505896608e-15,-0.856993299,-0.2877999002,0.8172662971
14.9896229,20,trans,0,0,0.4191690044,-8.423871725e-17,-1.941291635e-15,0.2109113192,-0.3936236968,0.1994231993
14.9896229,20,refl,0,0,0.4191690044,-1.480247938e-15,-1.819511717e-15,-0.7785188611,-0.3639508674,0.7385518509
14.27583133,21,trans,0,0,0.4401274546,3.867710303e-17,-3.339932668e-16,0.3198885102,-0.4440663125,0.2995235489
14.27583133,21,refl,0,0,0.4401274546,7.025766676e-17,-4.748298261e-16,-0.6777249893,-0.4186325345,0.6345643601
13.62692991,22,trans,0,0,0.4610859048,-1.563644485e-16,3.601864445e-16,0.4170872197,-0.4738917677,0.3985351563
13.62692991,22,refl,0,0,0.4610859048,-9.047883593e-17,2.101815384e-16,-0.5806863537,-0.4478119032,0.5377321421
13.0344547,23,trans,0,0,0.482044355,1.659240783e-16,3.897355518e-16,0.5172036921,-0.4836590953,0.5014257796
13.0344547,23,refl,0,0,0.482044355,2.648651358e-16,2.640334943e-16,-0.4798715758,-0.4535039905,0.4359425987
12.49135242,24,trans,0,0,0.5030028053,-3.578853531e-16,-4.358576838e-17,0.6160673653,-0.4729127405,0.6031854587
12.49135242,24,refl,0,0,0.5030028053,-1.983612202e-16,1.665283828e-17,-0.3794426376,-0.4361791401,0.3342289575
11.99169832,25,trans,0,0,0.5239612555,1.021456703e-16,-4.755137251e-16,0.7090544225,-0.4416743653,0.697834419
11.99169832,25,refl,0,0,0.5239612555,2.975488735e-16,-2.186941185e-16,-0.2847028378,-0.3988138201,0.240108169
11.53047915,26,trans,0,0,0.5449197057,-4.352087906e-16,2.338970849e-17,0.7910434751,-0.3919703237,0.7793905141
11.53047915,26,refl,0,0,0.5449197057,-1.409868676e-16,4.361989136e-16,-0.201538804,-0.3467213987,0.1608336178
11.10342437,27,trans,0,0,0.5658781559,-7.974291827e-16,4.035954925e-16,0.8579299799,-0.3290848988,0.844340721
11.10342437,27,refl,0,0,0.5658781559,-4.089386221e-16,8.194980933e-16,-0.1344450606,-0.28654492,0.1001834655
10.7068735,28,trans,0,0,0.5868366061,-7.47144711e-16,5.205057755e-16,0.9086799358,-0.2592666907,0.8929184426
10.7068735,28,refl,0,0,0.5868366061,-4.763942205e-16,8.234029808e-16,-0.08438985599,-0.2228032339,0.05676292883
10.33767097,29,trans,0,0,0.6077950564,-5.630268149e-16,3.876800639e-16,0.9448697105,-0.1872403442,0.9278377162
10.33767097,29,refl,0,0,0.6077950564,-4.285291748e-16,4.411529225e-16,-0.04936842891,-0.156384503,0.02689335455
9.993081933,30,trans,0,0,0.6287535066,-5.416781916e-16,6.960395587e-16,0.968251412,-0.115174763,0.9507760228
9.993081933,30,refl,0,0,0.6287535066,-4.504601743e-16,4.188175831e-16,-0.02701043771,-0.08566642687,0.008068300439
9.670724452,31,trans,0,0,0.6497119568,-4.085217189e-16,5.067487692e-16,0.9797236559,-0.04377815424,0.9617749687
9.670724452,31,refl,0,0,0.6497119568,-3.302555933e-16,-3.392960602e-17,-0.01596111237,-0.01014549592,0.0003576881955
9.368514313,32,trans,0,0,0.670670407,-5.367400165e-16,7.22865371e-16,0.979602203,0.02593790519,0.960293251
9.368514313,32,refl,0,0,0.670670407,-4.807079791e-16,1.263806194e-16,-0.01573693344,0.06706979193,0.004746008063
9.084619939,33,trans,0,0,0.6916288572,-5.595318701e-16,3.718678555e-16,0.9688512151,0.09256930184,0.9472417527
9.084619939,33,refl,0,0,0.6916288572,-5.225122808e-16,-4.504172577e-17,-0.02568890792,0.1403387317,0.02035487959
8.817425235,34,trans,0,0,0.7125873075,-9.745104117e-16,1.463991829e-16,0.9488270681,0.1559662031,0.9245982616
8.817425235,34,refl,0,0,0.7125873075,-9.624455228e-16,6.020734466e-17,-0.04493445735,0.2058287496,0.04438457961
