lam_um,f_THz,lmax,cond,solve_residual,eta_spread,Re_S11,Im_S11,Re_S21,Im_S21,absS11,absS21,absS11_cross,absS21_cross,R,T,A,n_open_orders,R_higher_orders,T_higher_orders,absS11_uncoupled,absS21_uncoupled,sigma_ext_um2,sigma_sca_um2,sigma_abs_um2
29.9792458,10,3,202.6498443,9.280321246e-16,5.434651134e-15,-0.7451734462,0.5173833596,0.2350858262,0.4859456379,0.9071763917,0.5398226641,4.828205343e-14,4.860616138e-14,0.8229690056,0.2914085087,-0.1143775143,1,0,0,1.181792067,1.280641524,47.37235387,43.11367293,4.258680939
27.25385982,11,3,158.8208931,9.141182539e-16,4.635757253e-15,-0.8221304727,0.3931495473,0.1542775382,0.3590904501,0.9112985683,0.3908292595,3.332881719e-14,3.562798033e-14,0.8304650806,0.1527475101,0.0167874093,1,0,0,1.498381345,1.366338343,86.62222192,80.37787877,6.24434315
24.98270483,12,3,126.7564197,7.50383093e-16,4.294046612e-15,-0.8805374589,0.3072628403,0.09042862428,0.2665000709,0.9326074574,0.2814242774,2.698562479e-14,2.890235764e-14,0.8697566696,0.07919962389,0.05104370655,1,0,0,1.874201488,1.445300097,151.6184443,142.2954456,9.322998714
23.06095831,13,3,93.22012199,7.869630843e-16,3.295019052e-15,-0.9229216543,0.2522591371,0.05113548177,0.2081691887,0.9567753405,0.2143577585,1.550410455e-14,1.632821441e-14,0.9154190523,0.04594924863,0.03863169911,1,0,0,2.207581995,1.470175429,234.4295652,220.772782,13.6567832
21.413747,14,3,62.76842725,5.995526937e-16,3.149195375e-15,-0.9545619662,0.190207833,0.0275093842,0.151455916,0.9733280881,0.1539339492,1.002202294e-14,1.032146593e-14,0.9473675671,0.02369566071,0.02893677219,1,0,0,2.33610701,1.393734252,290.8647614,273.6670807,17.19768077
19.98616387,15,3,40.20071429,4.265750642e-16,3.303340006e-15,-0.9774280662,0.09313760422,0.01076359622,0.0674880941,0.9818555077,0.06834104073,4.895235939e-15,5.18641478e-15,0.964040238,0.004670497848,0.03128926419,1,0,0,2.22094417,1.242886178,285.7835144,268.8214977,16.96201672
18.73702863,16,3,25.4349897,4.730189019e-16,2.748163126e-15,-0.9773307422,-0.0202911269,0.01316311047,-0.03990110782,0.9775413595,0.04201625736,5.040597628e-15,5.189717113e-15,0.9555871095,0.001765365882,0.04264752463,1,0,0,1.982863564,1.094960449,242.3234053,228.4904118,13.83299352
17.63485047,17,3,16.21156001,2.824218046e-16,2.920438609e-15,-0.9533673353,-0.120063523,0.03687461438,-0.1488340871,0.9608977706,0.1533340232,2.436957342e-15,2.312166228e-15,0.9233245256,0.02351132268,0.0531641517,1,0,0,1.716716891,0.9887161384,192.8607795,181.8998935,10.96088606
16.65513656,18,3,10.49374687,2.931007923e-16,4.823993541e-15,-0.9139648512,-0.2048639951,0.0759653196,-0.2450350817,0.9366434784,0.2565402912,1.868670156e-15,1.554893951e-15,0.8773010057,0.06581292103,0.05688607326,1,0,0,1.465307545,0.9283381526,150.620927,141.3919048,9.229022169
15.77855042,19,3,7.2635216,3.2613956e-16,1.397699997e-15,-0.856993299,-0.2877999002,0.1328284769,-0.3272687408,0.9040278187,0.3531971588,2.665634333e-15,2.148127146e-15,0.8172662971,0.124748233,0.05798546998,1,0,0,1.257576573,0.9064084418,117.9132591,110.0778468,7.835412247
14.9896229,20,3,5.950989615,1.859082473e-16,6.261459592e-15,-0.7785188611,-0.3639508674,0.2109113192,-0.3936236968,0.859390395,0.446568247,2.345582411e-15,1.943118466e-15,0.7385518509,0.1994231993,0.0620249498,1,0,0,1.100649255,0.9099011279,92.71623603,86.56265627,6.153579762
14.27583133,21,3,4.684504168,2.579103647e-16,2.436831947e-15,-0.6777249893,-0.4186325345,0.3198885102,-0.4440663125,0.7965954809,0.5472874463,4.799994828e-16,3.362252527e-16,0.6345643601,0.2995235489,0.06591209097,1,0,0,0.9456539568,0.9166738181,70.0941199,64.30462335,5.789496551
13.62692991,22,3,4.034609691,1.893081724e-16,5.131669097e-15,-0.5806863537,-0.4478119032,0.4170872197,-0.4738917677,0.7333022174,0.6312964092,2.288289729e-16,3.926628522e-16,0.5377321421,0.3985351563,0.06373270159,1,0,0,0.8150468143,0.9242547447,54.33380748,49.26634647,5.067461005
13.0344547,23,3,4.01865545,1.677039829e-16,9.417132362e-15,-0.4798715758,-0.4535039905,0.5172036921,-0.4836590953,0.6602594935,0.7081142419,3.739882702e-16,4.235854106e-16,0.4359425987,0.5014257796,0.06263162168,1,0,0,0.6940109749,0.932036828,41.81201506,37.31329449,4.498720578
