f_THz,lam_um,Re_S11,Im_S11,Re_S21,Im_S21,absS11,absS21,R,T,A
0,inf,5.930967644e-06,-3.359935192e-06,0.9998816292,0.0001452202213,6.816563775e-06,0.9998816397,4.64655417e-11,0.9997632934,0.0002367065147
0.01,29979.2458,6.415515019e-06,0.0001070416404,0.9999935533,0.0001293508463,0.0001072337242,0.9999935617,1.149907161e-08,0.9999871235,1.286504126e-05
0.035,8565.4988,8.074761402e-06,0.0003845032353,0.9999999911,0.0001332831524,0.0003845880129,1,1.479079397e-07,1,-1.479079395e-07
0.07,4282.7494,1.125955701e-05,0.0007761826927,0.9999999729,0.0002329797503,0.0007762643558,1,6.025863501e-07,1,-6.025863505e-07
0.105,2855.166267,1.514337523e-05,0.001171227175,0.9999999088,0.0004270019951,0.001171325069,1,1.372002417e-06,1,-1.372002417e-06
0.14,2141.3747,1.942913756e-05,0.001569206864,0.9999997552,0.0006996887597,0.00156932714,1,2.462787672e-06,1,-2.462787672e-06
0.175,1713.09976,2.386322667e-05,0.001969716597,0.9999994623,0.001036990867,0.001969861144,1,3.880352926e-06,1,-3.880352926e-06
0.21,1427.583133,2.823332976e-05,0.002372378548,0.9999989827,0.001426407313,0.002372546542,1,5.628977094e-06,1,-5.628977094e-06
0.245,1223.642686,3.236569846e-05,0.002776844308,0.9999982759,0.001856911788,0.002777032922,1,7.71191185e-06,1,-7.71191185e-06
0.28,1070.68735,3.612196537e-05,0.003182796356,0.9999973114,0.002318871384,0.003183001326,1,1.013149744e-05,1,-1.013149744e-05
0.315,951.7220889,3.939565486e-05,0.003589948884,0.9999960689,0.002803959307,0.003590165039,1,1.288928501e-05,1,-1.288928501e-05
0.35,856.54988,4.210851901e-05,0.003998048027,0.9999945383,0.003305063282,0.00399826977,1,1.598616115e-05,1,-1.598616115e-05
0.385,778.6817091,4.420681823e-05,0.004406871509,0.9999927183,0.003816191254,0.00440709323,1,1.942247074e-05,1,-1.942247074e-05
0.42,713.7915667,4.565765151e-05,0.004816227785,0.9999906152,0.004332375801,0.004816444197,1,2.31981347e-05,1,-2.31981347e-05
0.455,658.8845231,4.644542331e-05,0.005225954725,0.9999882407,0.004849578589,0.005226161111,1,2.731275996e-05,1,-2.731275996e-05
0.49,611.8213429,4.656851852e-05,0.005635917926,0.9999856105,0.005364596016,0.005636110316,1,3.17657395e-05,1,-3.17657395e-05
0.525,571.0332533,4.603623787e-05,0.006046008733,0.9999827422,0.005874967044,0.006046183998,1,3.655634094e-05,1,-3.655634094e-05
0.56,535.343675,4.486603059e-05,0.006456142031,0.9999796547,0.006378884121,0.006456297924,1,4.168378288e-05,1,-4.168378288e-05
0.595,503.8528706,4.308104617e-05,0.006866253893,0.9999763662,0.006875107893,0.006866389043,1,4.714729849e-05,1,-4.714729849e-05
0.63,475.8610444,4.070801389e-05,0.007276299158,0.9999728936,0.007362886334,0.00727641303,1,5.294618658e-05,1,-5.294618658e-05
0.665,450.8157263,3.777544814e-05,0.007686248988,0.999969252,0.007841878764,0.007686341814,1,5.907985049e-05,1,-5.907985049e-05
0.7,428.27494,3.431216826e-05,0.008096088461,0.999965454,0.008312085119,0.00809616117,1,6.554782569e-05,1,-6.554782569e-05
0.735,407.8808952,3.034611554e-05,0.008505814256,0.9999275293,0.008773482601,0.008505868388,0.9999660184,7.234979704e-05,0.9999320379,-4.387688785e-06
0.77,389.3408545,2.590344426e-05,0.008915432457,0.9998816039,0.009226757211,0.008915470088,0.9999241746,7.948560689e-05,0.9998483549,7.215949574e-05
0.805,372.4129913,2.100786098e-05,0.009324956509,0.9998427215,0.009672698015,0.009324980173,0.9998895084,8.695525523e-05,0.9997790289,0.000134015831
0.84,356.8957833,1.568018397e-05,0.009734405345,0.9998102977,0.01011207681,0.009734417974,0.9998614332,9.475889329e-05,0.9997228856,0.000182355541
0.875,342.619952,9.938094171e-06,0.0101438017,0.9997836299,0.01054573453,0.01014380657,0.9998392467,0.0001028968118,0.9996785192,0.0002185839955
0.91,329.4422615,3.796048992e-06,0.01055317064,0.9997619349,0.01097454471,0.01055317133,0.9998221677,0.0001113694251,0.999644367,0.0002442635331
0.945,317.2406963,-2.73466862e-06,0.01096253826,0.9997443825,0.01139938234,0.0109625386,0.99980937,0.0001201772526,0.9996187763,0.0002610464236
0.98,305.9106714,-9.645792175e-06,0.01137193058,0.9997301264,0.01182109789,0.01137193467,0.9998000119,0.0001293208982,0.9996000639,0.0002706152121
1.015,295.3620276,-1.693182915e-05,0.01178137269,0.9997183297,0.01224049616,0.01178138486,0.9997932628,0.0001388010293,0.9995865684,0.0002746305613
1.05,285.5166267,-2.458975643e-05,0.01219088801,0.9997081884,0.01265831971,0.01219091281,0.9997883251,0.0001486183552,0.999576695,0.0002746865977
1.085,276.3064129,-3.261867401e-05,0.01260049774,0.9996989501,0.01307523634,0.01260053996,0.9997844531,0.0001587736073,0.9995689527,0.0002722736609
1.12,267.6718375,-4.101943477e-05,0.0130102205,0.9996899293,0.01349183058,0.01301028517,0.9997809681,0.0001692675201,0.9995619842,0.0002687482649
1.155,259.5605697,-4.979426622e-05,0.01342007208,0.999680519,0.01390859842,0.01342016446,0.9997772698,0.0001801008142,0.9995545892,0.0002653099955
1.19,251.9264353,-5.894639759e-05,0.01383006534,0.9996701997,0.01432594521,0.01383019096,0.9997728446,0.0001912741819,0.9995457408,0.0002629849943
1.225,244.7285371,-6.847970357e-05,0.01424021018,0.9996585442,0.01474418622,0.01424037484,0.999767271,0.0002027882755,0.9995345961,0.0002626156136
1.26,237.9305222,-7.839837395e-05,0.01465051371,0.9996452207,0.01516354945,0.01465072347,0.9997602215,0.0002146436983,0.9995205005,0.0002648557761
1.295,231.4999676,-8.870661636e-05,0.01506098035,0.9996299919,0.0155841804,0.01506124158,0.9997514629,0.0002268409981,0.9995029875,0.0002701715218
1.33,225.4078632,-9.940839757e-05,0.01547161213,0.9996127132,0.01600614844,0.01547193149,0.999740853,0.0002393806639,0.9994817731,0.0002788461954
1.365,219.6281744,-0.0001105072269,0.01588240894,0.9995933274,0.01642945428,0.01588279338,0.9997283367,0.0002522631255,0.9994567472,0.0002909896974
1.4,214.13747,-0.0001220059841,0.01629336889,0.9995718591,0.0168540385,0.01629382568,0.9997139391,0.0002654887552,0.99942796,0.0003065512087
1.435,208.9146049,-0.0001339067916,0.01670448863,0.9995484061,0.01727979054,0.01670502533,0.999697758,0.0002790578714,0.9993956073,0.0003253347899
1.47,203.9404476,-0.0001462109315,0.01711576373,0.9995231312,0.01770655813,0.01711638822,0.9996799548,0.0002929707456,0.999360012,0.0003470172619
1.505,199.1976465,-0.0001589188049,0.017527189,0.9994962516,0.01813415669,0.01752790944,0.9996607448,0.0003072276094,0.9993216046,0.0003711677818
1.54,194.6704273,-0.0001720299303,0.01793875885,0.9994680289,0.01856237862,0.0179395837,0.9996403867,0.0003218286635,0.9992809028,0.0003972685504
1.575,190.3444178,-0.0001855429791,0.01835046762,0.9994387583,0.01899100225,0.01835140561,0.9996191724,0.0003367740879,0.9992384898,0.0004247361135
1.61,186.2064957,-0.0001994558416,0.01876230982,0.9994087575,0.01941980028,0.01876336996,0.9995974156,0.0003520640523,0.9991949932,0.0004529427506
1.645,182.2446553,-0.0002137657213,0.01917428044,0.9993783563,0.01984854748,0.019175472,0.9995754418,0.0003676987263,0.9991510638,0.0004812374857
1.68,178.4478917,-0.0002284692501,0.01958637516,0.9993478862,0.02027702774,0.01958770763,0.9995535781,0.0003836782901,0.9991073554,0.000508966296
1.715,174.806098,-0.0002435626212,0.0199985905,0.9993176708,0.02070504018,0.02000007361,0.9995321435,0.0004000029445,0.9990645059,0.0005354911447
1.75,171.309976,-0.000259041733,0.02041092396,0.9992880171,0.02113240438,0.02041256769,0.9995114404,0.0004166729197,0.9990231196,0.0005602075095
1.785,167.9509569,-0.0002749023387,0.02082337418,0.9992592068,0.02155896465,0.02082518867,0.9994917465,0.0004336884833,0.9989837514,0.0005825601345
1.82,164.7211308,-0.0002911401985,0.02123594088,0.9992314902,0.02198459338,0.02123793652,0.9994733079,0.0004510499477,0.9989468933,0.0006020567834
1.855,161.6131849,-0.0003077512269,0.02164862498,0.9992050793,0.02240919334,0.02165081233,0.9994563335,0.0004687576745,0.9989129625,0.0006182798238
1.89,158.6203481,-0.0003247316335,0.02206142853,0.999180144,0.02283269917,0.02206381834,0.99944099,0.0004868120796,0.9988822924,0.0006308955268
1.925,155.7363418,-0.0003420780513,0.02247435464,0.9991568079,0.02325507791,0.02247695785,0.9994273987,0.0005052136341,0.9988551254,0.0006396610134
1.96,152.9553357,-0.0003597876513,0.02288740743,0.9991351459,0.02367632871,0.02289023517,0.9994156334,0.0005239628661,0.9988316083,0.0006444288282
1.995,150.2719088,-0.0003778582385,0.02330059189,0.9991151836,0.0240964818,0.02330365549,0.9994057187,0.0005430603593,0.9988117905,0.0006451491655
2.03,147.6810138,-0.0003962883297,0.02371391377,0.9990968967,0.02451559677,0.02371722477,0.9993976303,0.0005625067506,0.9987956234,0.0006418698161
2.065,145.1779458,-0.0004150772091,0.02412737941,0.9990802125,0.02493376023,0.02413094955,0.9993912964,0.0005823027262,0.9987829633,0.0006347339383
2.1,142.7583133,-0.0004342249632,0.02454099561,0.9990650118,0.02535108298,0.02454483687,0.9993865995,0.000602449017,0.9987735752,0.0006239757932
2.135,140.4180131,-0.0004537324926,0.02495476947,0.9990511322,0.02576769676,0.02495889405,0.9993833794,0.0006229463923,0.998767139,0.0006099146131
2.17,138.1532065,-0.000473601503,0.02536870818,0.999038372,0.02618375067,0.02537312856,0.9993814375,0.0006437956529,0.9987632576,0.0005929467971
2.205,135.9602984,-0.0004938344744,0.02578281891,0.9990264948,0.02659940736,0.02578754783,0.999380541,0.0006649976233,0.9987614657,0.0005735366492
2.24,133.8359187,-0.0005144346112,0.02619710865,0.9990152348,0.02701483912,0.02620215916,0.9993804285,0.0006865531445,0.998761241,0.0005522058906
2.275,131.7769046,-0.000535405774,0.02661158405,0.9990043031,0.02743022383,0.02661696949,0.9993808157,0.000708463065,0.9987620147,0.00052952219
2.31,129.7802848,-0.000556752396,0.02702625132,0.9989933931,0.02784574108,0.02703198538,0.9993814011,0.0007307282336,0.9987631848,0.0005060869617
2.345,127.8432657,-0.0005784793851,0.0274411161,0.9989821878,0.02826156829,0.02744721281,0.9993818729,0.0007533494911,0.9987641278,0.0004825226876
2.38,125.9632176,-0.0006005920157,0.02785618339,0.9989703658,0.02867787707,0.02786265715,0.9993819151,0.0007763276637,0.9987642123,0.0004594600141
2.415,124.1376638,-0.000623095812,0.02827145747,0.9989576079,0.02909482986,0.02827832307,0.9993812143,0.0007996635558,0.9987628116,0.0004375248731
2.45,122.3642686,-0.0006459964262,0.02868694187,0.998943604,0.02951257677,0.02869421449,0.9993794656,0.0008233579455,0.9987593162,0.0004173258666
2.485,120.6408282,-0.000669299514,0.02910263935,0.9989280587,0.02993125292,0.02911033458,0.9993763787,0.0008474115791,0.9987531463,0.0003994421405
2.52,118.9652611,-0.0006930106111,0.02951855188,0.9989106973,0.03035097605,0.0295266857,0.999371684,0.0008718251686,0.9987437629,0.0003844119609
2.555,117.3356,-0.0007171350118,0.02993468067,0.9988912714,0.0307718446,0.02994326951,0.9993651377,0.0008965993892,0.9987306784,0.000372722185
2.59,115.7499838,-0.0007416776547,0.03035102623,0.9988695634,0.03119393626,0.03036008694,0.9993565261,0.0009217348792,0.9987134663,0.0003647988002
2.625,114.2066507,-0.0007666430159,0.03076758844,0.9988453909,0.03161730692,0.03077713827,0.9993456705,0.00094723224,0.9986917691,0.0003609986798
2.66,112.7039316,-0.0007920350129,0.03118436659,0.9988186102,0.03204199009,0.0311944232,0.9993324298,0.0009730920389,0.9986653053,0.0003616026816
2.695,111.2402442,-0.000817856921,0.03160135949,0.998789119,0.03246799675,0.03161194097,0.9993167041,0.0009993148119,0.998633875,0.0003668101877
2.73,109.8140872,-0.0008441113037,0.03201856563,0.9987568583,0.03289531567,0.03202969042,0.9992984358,0.001025901069,0.9985973638,0.0003767351588
2.765,108.4240354,-0.0008707999586,0.03243598319,0.998721814,0.03332391412,0.03244767015,0.9992776116,0.001052851298,0.998555745,0.0003914037469
2.8,107.068735,-0.0008979238796,0.03285361028,0.9986840169,0.03375373893,0.0328658786,0.9992542622,0.001080165976,0.9985090805,0.0004107534859
2.835,105.7468988,-0.0009254832359,0.03327144498,0.9986435427,0.03418471793,0.03328431418,0.9992284626,0.00110784557,0.9984575204,0.0004346340507
2.87,104.4573024,-0.000953477369,0.0336894855,0.9986005106,0.03461676169,0.03370297542,0.9992003302,0.001135890552,0.9984012999,0.0004628095499
2.905,103.1987807,-0.0009819048055,0.03410773031,0.9985550812,0.03504976551,0.03412186108,0.9991700237,0.001164301404,0.9983407363,0.0004949622934
2.94,101.9702238,-0.001010763288,0.03452617823,0.9985074545,0.03548361165,0.03454097024,0.99913774,0.001193078625,0.9982762234,0.000530697952
2.975,100.7705741,-0.001040049822,0.03494482856,0.998457866,0.03591817172,0.03496030244,0.999103711,0.001222222747,0.9982082252,0.0005695520067
3.01,99.59882326,-0.001069760734,0.03536368119,0.9984065831,0.03635330921,0.03537985777,0.9990682,0.001251734336,0.9981372683,0.0006109973627
3.045,98.4540092,-0.001099891753,0.03578273665,0.9983539008,0.03678888201,0.03579963693,0.9990314975,0.001281614004,0.998063933,0.0006544529924
3.08,97.33521364,-0.001130438089,0.03620199619,0.9983001365,0.03722474514,0.03621964134,0.998993916,0.001311862419,0.9979888441,0.0006992934515
3.115,96.24155955,-0.001161394537,0.03662146186,0.9982456252,0.03766075322,0.03663987317,0.9989557851,0.001342480306,0.9979126606,0.0007448591068
3.15,95.17220889,-0.001192755576,0.03704113649,0.9981907139,0.03809676311,0.03706033538,0.9989174464,0.001373468459,0.9978360646,0.0007904669011
3.185,94.12636044,-0.001224515489,0.03746102377,0.9981357557,0.03853263625,0.03748103174,0.9988792473,0.00140482774,0.9977597508,0.0008354214802
3.22,93.10324783,-0.00125666847,0.03788112818,0.9980811042,0.03896824102,0.03790196681,0.9988415362,0.001436559088,0.9976844144,0.0008790265
3.255,92.10213763,-0.001289208746,0.03830145502,0.998027108,0.03940345478,0.03832314595,0.9988046559,0.001468663516,0.9976107405,0.0009205959357
3.29,91.12232766,-0.001322130693,0.03872201032,0.9979741045,0.03983816583,0.03874457527,0.9987689386,0.001501142113,0.9975393927,0.0009594652156
3.325,90.16314526,-0.001355428951,0.03914280083,0.9979224147,0.04027227504,0.03916626155,0.9987347005,0.001533996044,0.9974710019,0.0009950020098
3.36,89.22394583,-0.001389098534,0.03956383388,0.9978723381,0.04070569728,0.03958821221,0.9987022364,0.001567226546,0.9974061569,0.001026616511
3.395,88.30411134,-0.001423134935,0.03998511735,0.9978241474,0.0411383626,0.04001043517,0.998671815,0.001600834923,0.997345394,0.001053771055
3.43,87.40304898,-0.001457534216,0.04040665951,0.9977780843,0.04157021708,0.04043293879,0.9986436745,0.001634822539,0.9972891885,0.001075988942
3.465,86.5201899,-0.001492293101,0.04082846893,0.9977343555,0.04200122344,0.04085573171,0.9986180185,0.001669190814,0.9972379469,0.001092862332
3.5,85.654988,-0.001527409044,0.04125055433,0.9976931288,0.04243136134,0.04127882279,0.9985950128,0.001703941211,0.9971919997,0.001104059103
3.535,84.80691881,-0.001562880293,0.04167292446,0.9976545308,0.04286062744,0.0417022209,0.9985747825,0.001739075228,0.9971515962,0.001109328587
3.57,83.97547843,-0.001598705939,0.04209558795,0.9976186441,0.04328903513,0.04212593484,0.9985574092,0.001774594386,0.9971168995,0.001108506089
3.605,83.16018252,-0.001634885948,0.04251855319,0.9975855058,0.04371661405,0.04254997317,0.9985429303,0.001810500217,0.9970879836,0.001101516155
3.64,82.36056538,-0.001671421183,0.04294182813,0.9975551066,0.04414340934,0.04297434411,0.9985313371,0.001846794252,0.9970648312,0.001088374534
3.675,81.57617905,-0.001708313404,0.04336542021,0.9975273904,0.0445694807,0.04339905534,0.9985225752,0.001883478005,0.9970473332,0.001069188823
3.71,80.80659245,-0.001745565266,0.04378933619,0.9975022547,0.04499490118,0.04382411393,0.9985165443,0.001920552962,0.9970352893,0.001044157783
3.745,80.05139065,-0.001783180286,0.04421358204,0.9974795516,0.04541975585,0.0442495262,0.9985130996,0.001958020569,0.9970284101,0.001013569356
3.78,79.31017407,-0.001821162814,0.04463816283,0.9974590895,0.04584414029,0.04467529759,0.9985120532,0.001995882214,0.9970263204,0.0009777974166
3.815,78.5825578,-0.001859517974,0.0450630826,0.9974406353,0.04626815897,0.04510143258,0.9985131764,0.002034139221,0.9970285635,0.0009372972991
3.85,77.86817091,-0.001898251609,0.04548834436,0.9974239175,0.04669192351,0.04552793463,0.9985162027,0.002072792832,0.997034607,0.000892600181
3.885,77.16665586,-0.001937370202,0.04591394993,0.9974086295,0.0471155509,0.04595480607,0.9985208307,0.002111844201,0.9970438494,0.0008443064017
3.92,76.47766786,-0.001976880798,0.04633989994,0.9973944335,0.04753916166,0.04638204808,0.9985267286,0.002151294384,0.9970556278,0.0007930778136
3.955,75.80087434,-0.002016790909,0.04676619384,0.9973809647,0.047962878,0.04680966067,0.9985335379,0.002191144332,0.9970692264,0.0007396292753
3.99,75.13595439,-0.002057108422,0.04719282982,0.9973678364,0.04838682198,0.04723764263,0.9985408783,0.002231394881,0.9970838857,0.0006847194069
4.025,74.48259826,-0.002097841495,0.04761980488,0.9973546449,0.04881111379,0.04766599161,0.9985483526,0.002272046756,0.9970988125,0.000629140738
4.06,73.8405069,-0.002138998453,0.04804711487,0.9973409744,0.04923586998,0.04809470409,0.9985555518,0.002313100562,0.9971131901,0.0005737093822
4.095,73.20939145,-0.002180587684,0.0484747545,0.9973264029,0.04966120193,0.04852377548,0.9985620606,0.002354556787,0.9971261888,0.0005192543819
4.13,72.58897288,-0.002222617534,0.04890271749,0.9973105075,0.05008721432,0.04895320017,0.9985674626,0.002396415807,0.9971369773,0.0004666068677
4.165,71.97898151,-0.002265096201,0.04933099661,0.9972928699,0.05051400382,0.04938297163,0.9985713459,0.002438677887,0.9971447329,0.0004165891789
4.2,71.37915667,-0.002308031643,0.04975958382,0.9972730821,0.05094165789,0.04981308254,0.9985733086,0.002481343192,0.9971486527,0.0003700040916
4.235,70.78924628,-0.002351431479,0.05018847043,0.9972507513,0.05137025377,0.0502435249,0.9985729637,0.002524411794,0.9971479639,0.0003276242983
4.27,70.20900656,-0.002395302906,0.05061764719,0.9972255055,0.05179985768,0.05067429016,0.9985699445,0.002567883683,0.997141934,0.0002901822773
4.305,69.63820163,-0.002439652618,0.05104710452,0.997196998,0.05223052415,0.05110536943,0.9985639091,0.002611758785,0.9971298805,0.0002583606874
4.34,69.07660323,-0.00248448674,0.05147683262,0.9971649123,0.05266229557,0.0515367536,0.9985545451,0.002656036971,0.9971111796,0.0002327834114
4.375,68.5239904,-0.002529810766,0.05190682171,0.9971289656,0.05309520199,0.05196843352,0.9985415738,0.002700718083,0.9970852746,0.0002140073654
4.41,67.98014921,-0.002575629514,0.05233706216,0.9970889133,0.05352926104,0.05240040022,0.9985247533,0.002745801943,0.9970516829,0.0002025151787
4.445,67.44487244,-0.002621947085,0.05276754471,0.9970445516,0.05396447806,0.05283264503,0.9985038822,0.002791288381,0.9970100028,0.0001987088365
4.48,66.91795937,-0.002668766842,0.05319826065,0.9969957203,0.05440084643,0.05326515984,0.9984788022,0.002837177253,0.9969599184,0.0002029043645
4.515,66.3992155,-0.002716091399,0.05362920202,0.996942305,0.05483834806,0.05369793722,0.9984493998,0.002883468462,0.9969012039,0.000215327621
4.55,65.88845231,-0.002763922613,0.05406036174,0.9968842386,0.05527695407,0.05413097062,0.9984156082,0.00293016198,0.9968337268,0.000236111243
4.585,65.38548702,-0.002812261603,0.05449173385,0.9968215021,0.05571662554,0.05456425454,0.9983774083,0.002977257873,0.9967574493,0.0002652927828
4.62,64.89014242,-0.002861108767,0.05492331359,0.996754125,0.05615731447,0.05499778467,0.9983348284,0.003024756319,0.9966724296,0.0003028140497
4.655,64.40224662,-0.002910463816,0.0553550976,0.996682185,0.05659896477,0.05543155807,0.9982879448,0.00307265763,0.9965788207,0.0003485216591
4.69,63.92163284,-0.002960325819,0.05578708404,0.9966058071,0.05704151345,0.05586557325,0.9982368802,0.003120962275,0.996476869,0.0004021687724
4.725,63.44813926,-0.00301069325,0.05621927268,0.9965251619,0.05748489172,0.05629983032,0.9981818026,0.003169670894,0.9963669111,0.0004634179989
4.76,62.98160882,-0.003061564053,0.05665166498,0.9964404639,0.05792902632,0.05673433104,0.9981229234,0.003218784319,0.9962493703,0.000531845411
4.795,62.52188905,-0.003112935704,0.05708426419,0.9963519687,0.05837384072,0.05716907893,0.9980604946,0.003268303586,0.9961247508,0.0006069456142
4.83,62.06883188,-0.003164805285,0.05751707537,0.9962599698,0.05881925639,0.05760407929,0.9979948057,0.003318229951,0.9959936323,0.0006881377977
4.865,61.62229353,-0.003217169555,0.05795010542,0.9961647952,0.05926519411,0.05803933923,0.9979261808,0.003368564898,0.9958566624,0.0007747726793
4.9,61.18213429,-0.003270025037,0.05838336308,0.9960668037,0.05971157516,0.05847486766,0.9978549742,0.003419310148,0.9957145496,0.000866140249
4.935,60.74821844,-0.003323368087,0.05881685886,0.9959663801,0.06015832249,0.05891067528,0.9977815663,0.003470467662,0.9955680541,0.0009614782054
