lam_um,f_THz,lmax,cond,solve_residual,eta_spread,Re_S11,Im_S11,Re_S21,Im_S21,absS11,absS21,absS11_cross,absS21_cross,R,T,A,n_open_orders,R_higher_orders,T_higher_orders,absS11_uncoupled,absS21_uncoupled,sigma_ext_um2,sigma_sca_um2,sigma_abs_um2
29.9792458,10,3,6.598463993,4.207774037e-16,5.434651134e-15,-0.01511870445,0.1274502858,0.9780705046,0.1256431641,0.1283438763,0.9861075584,1.382696515e-15,1.648701462e-15,0.01647215057,0.9724081167,0.01111973276,1,0,0,0.1306991979,0.9998071348,1.084079406,0.6077091054,0.4763703008
27.25385982,11,3,4.525761207,3.282938646e-16,4.635757253e-15,-0.02298891509,0.1384951743,0.9705000731,0.1365292427,0.1403901831,0.9800564402,1.208090424e-15,1.620640783e-15,0.01970940352,0.960510626,0.01977997048,1,0,0,0.1482129699,0.9968119002,1.783467312,0.9636855285,0.8197817835
24.98270483,12,3,3.589792428,4.191313722e-16,4.294046612e-15,-0.02911908116,0.150795721,0.9645781007,0.150719744,0.1535814779,0.9762824149,9.583363602e-16,1.255845862e-15,0.02358727035,0.9531273537,0.02328537599,1,0,0,0.1669615745,0.9942938198,2.537361755,1.471282195,1.06607956
23.06095831,13,3,3.130762174,2.31827948e-16,3.295019052e-15,-0.03598183927,0.1674795151,0.960258061,0.1672825924,0.1713011405,0.9747199647,9.498221242e-16,8.855570321e-16,0.02934408073,0.9500790095,0.02057690976,1,0,0,0.1898077325,0.9937693713,3.151113051,2.164565638,0.9865474138
21.413747,14,3,2.870913958,2.832591771e-16,3.149195375e-15,-0.04556485547,0.1901621885,0.9547442271,0.1840003546,0.1955449155,0.9723130512,5.16831091e-16,2.55304829e-16,0.03823781398,0.9453926696,0.01636951644,1,0,0,0.2199503965,0.9929806464,3.877355296,3.111601776,0.7657535194
19.98616387,15,3,2.760985781,2.179537707e-16,3.303340006e-15,-0.05577784206,0.2161882028,0.9453211845,0.2009417575,0.2232677915,0.9664417891,9.727803854e-16,6.622771393e-16,0.04984850671,0.9340097318,0.01614176151,1,0,0,0.2554775966,0.988651568,5.170590934,4.448391715,0.7221992191
18.73702863,16,3,2.712342191,2.146316538e-16,2.748163126e-15,-0.06584733991,0.2403953131,0.9322692471,0.220238654,0.2492504337,0.9579305892,9.195140694e-16,9.345717697e-16,0.06212577871,0.9176310138,0.02024320749,1,0,0,0.292041646,0.9794518287,7.329127363,6.372495771,0.9566315922
17.63485047,17,3,2.672283909,2.051316219e-16,2.920438609e-15,-0.0773146179,0.2585921528,0.9188397067,0.24266489,0.2699026707,0.9503434408,8.47679068e-16,1.203106656e-15,0.07284745164,0.9031526554,0.02399989292,1,0,0,0.3263550293,0.9665322723,10.33588582,9.074964393,1.260921431
16.65513656,18,3,2.6620971,2.301296467e-16,4.823993541e-15,-0.09224803695,0.2735617805,0.9064092238,0.265715646,0.2886966367,0.94455412,3.944756487e-16,5.679875421e-16,0.08334574805,0.8921824856,0.02447176633,1,0,0,0.3615109375,0.9500289996,14.17230922,12.75062465,1.421684565
15.77855042,19,3,2.708310535,1.785007014e-16,1.397699997e-15,-0.1116485158,0.2943702569,0.8886632042,0.2883586359,0.314832081,0.9342767221,1.52312011e-15,1.846895006e-15,0.09911923924,0.8728729934,0.02800776735,1,0,0,0.4045578327,0.9236677646,19.56007916,17.77245245,1.787626712
