f_THz,lam_um,Re_S11,Im_S11,Re_S21,Im_S21,absS11,absS21,R,T,A
0,inf,2.988285149e-05,4.948288849e-06,0.9999546182,0.0004129461075,3.028977345e-05,0.9999547034,9.174703757e-10,0.9999094089,9.059013473e-05
0.01,29979.2458,8.826980863e-06,0.0001740958907,0.9999911012,0.0002035044374,0.0001743195191,0.9999911219,3.038729475e-08,0.9999822439,1.772575523e-05
0.035,8565.4988,-3.756872659e-05,0.0006012391692,0.9999999812,-0.0001938381429,0.0006024117759,1,3.628999478e-07,1,-3.628999478e-07
0.07,4282.7494,-8.854929326e-05,0.001208867572,0.999999888,-0.0004732464794,0.001212106342,1,1.469201784e-06,1,-1.469201784e-06
0.105,2855.166267,-0.0001248539283,0.001826765168,0.9999998898,-0.0004695117553,0.001831026893,1,3.352659484e-06,1,-3.352659483e-06
0.14,2141.3747,-0.0001482949584,0.002453909692,0.9999999749,-0.0002242316861,0.002458386498,1,6.043664172e-06,1,-6.043664172e-06
0.175,1713.09976,-0.0001606778086,0.003089318408,0.9999999749,0.0002238360303,0.003093494074,1,9.569705587e-06,1,-9.569705586e-06
0.21,1427.583133,-0.0001637772685,0.003732042884,0.9999996481,0.0008389112885,0.003735634762,1,1.395496708e-05,1,-1.395496708e-05
0.245,1223.642686,-0.0001593146433,0.004381165347,0.9999987387,0.001588281127,0.004384061011,1,1.921999095e-05,1,-1.921999095e-05
0.28,1070.68735,-0.0001489362944,0.005035796827,0.9999970175,0.002442342863,0.005037998779,1,2.53814317e-05,1,-2.53814317e-05
0.315,951.7220889,-0.0001341940805,0.005695077138,0.999994306,0.003374603327,0.005696657937,1,3.245191165e-05,1,-3.245191165e-05
0.35,856.54988,-0.0001165281895,0.006358176662,0.999990488,0.004361637516,0.006359244396,1,4.043998929e-05,1,-4.043998929e-05
0.385,778.6817091,-9.725279784e-05,0.007024299761,0.9999855115,0.005383010569,0.00702497297,1,4.935024523e-05,1,-4.935024523e-05
0.42,713.7915667,-7.754491047e-05,0.007692689518,0.9999793841,0.00642116747,0.007693080348,1,5.918348524e-05,1,-5.918348524e-05
0.455,658.8845231,-5.84366271e-05,0.008362633467,0.9999721642,0.007461295135,0.008362837637,1,6.993705335e-05,1,-6.993705335e-05
0.49,611.8213429,-4.081095281e-05,0.009033469838,0.999933865,0.008490906216,0.009033562025,0.9999699145,8.160524285e-05,0.9999398299,-2.143512136e-05
0.525,571.0332533,-2.540113482e-05,0.009704593887,0.9998710468,0.009500141259,0.00970462713,0.999916178,9.417978773e-05,0.999832363,7.345721594e-05
0.56,535.343675,-1.279337096e-05,0.01037546383,0.9998092874,0.01048158059,0.01037547172,0.9998642281,0.0001076504133,0.9997284747,0.0001638748669
0.595,503.8528706,-3.43261065e-06,0.01104560596,0.9997496543,0.0114296354,0.0110456065,0.9998149868,0.0001220054229,0.9996300079,0.0002479866869
0.63,475.8610444,2.368937351e-06,0.01171461863,0.9996930233,0.01234052149,0.01171461887,0.999769188,0.0001372322952,0.9995384294,0.000324338342
0.665,450.8157263,4.421056203e-06,0.0123821747,0.9996400801,0.01321205059,0.01238217549,0.9997273868,0.00015331827,0.9994548479,0.0003918338017
0.7,428.27494,2.643047588e-06,0.01304802252,0.9995913257,0.0140434242,0.01304802279,0.9996899701,0.0001702508987,0.9993800362,0.0004497128803
0.735,407.8808952,-2.949930323e-06,0.01371198505,0.9995470862,0.0148350327,0.01371198536,0.9996571691,0.0001880185426,0.9993144558,0.0004975256606
0.77,389.3408545,-1.226118669e-05,0.01437395744,0.9995075241,0.01558826237,0.01437396267,0.9996290735,0.0002066108028,0.9992582846,0.0005351045855
0.805,372.4129913,-2.512699122e-05,0.01503390305,0.9994726524,0.01630531221,0.01503392404,0.9996056453,0.0002260188721,0.9992114462,0.000562534933
0.84,356.8957833,-4.133079854e-05,0.01569184801,0.999442351,0.01698902229,0.01569190244,0.9995867345,0.0002462358023,0.9991736399,0.0005801243402
0.875,342.619952,-6.061683283e-05,0.0163478748,0.9994163827,0.01764271469,0.01634798718,0.9995720941,0.0002672566849,0.9991443714,0.0005883719505
0.91,329.4422615,-8.270273687e-05,0.01700211482,0.9993944111,0.01827004812,0.01700231596,0.9995613956,0.0002890787481,0.9991229835,0.0005879377073
0.945,317.2406963,-0.0001072910658,0.0176547405,0.9993760178,0.01887488662,0.01765506651,0.9995542438,0.0003117013734,0.9991086864,0.0005796122409
0.98,305.9106714,-0.0001340794791,0.01830595703,0.99936072,0.01946118266,0.01830644805,0.9995501919,0.0003351260402,0.9991005862,0.0005642877341
1.015,295.3620276,-0.0001627695509,0.01895599414,0.9993479863,0.02003287469,0.01895669295,0.999548755,0.0003593562077,0.9990977137,0.0005429301009
1.05,285.5166267,-0.000193074175,0.01960509795,0.9993372532,0.02059379904,0.01960604864,0.9995494235,0.0003843971433,0.9990990501,0.0005165527458
1.085,276.3064129,-0.0002247235906,0.02025352338,0.9993279394,0.02114761565,0.02025477005,0.9995516756,0.0004102557098,0.9991035522,0.0004861921363
1.12,267.6718375,-0.0002574700874,0.02090152695,0.9993194596,0.02169774718,0.02090311268,0.9995549882,0.0004369401198,0.9991101745,0.0004528853671
1.155,259.5605697,-0.0002910914802,0.02154936045,0.9993112362,0.02224733097,0.02155132641,0.9995588479,0.00046445967,0.9991178905,0.0004176498589
