lam_um,f_THz,side,n1,n2,kz_rad_per_um,Re_S_TE,Im_S_TE,Re_S_TM,Im_S_TM,power
29.9792458,10,trans,0,0,0.2095845022,-2.417186546e-16,3.971631397e-16,0.9719197887,0.1856510682,0.9790943947
29.9792458,10,refl,0,0,0.2095845022,-2.655853543e-16,4.066141719e-16,-0.03982600549,0.1977208016,0.04067962609
27.25385982,11,trans,0,0,0.2305429524,-2.267029546e-16,-1.922602122e-17,0.9535729408,0.2142036051,0.9551845379
27.25385982,11,refl,0,0,0.2305429524,-1.223588374e-16,2.116813337e-16,-0.05698764552,0.2293509963,0.05584947125
24.98270483,12,trans,0,0,0.2515014026,-1.172903922e-15,7.202609737e-17,0.9287978748,0.244163815,0.9222814609
24.98270483,12,refl,0,0,0.2515014026,-1.146308984e-15,6.211216186e-16,-0.08035790334,0.2642443831,0.07628248662
23.06095831,13,trans,0,0,0.2724598529,-7.52774328e-16,5.295186746e-16,0.911712618,0.2692565863,0.9037190071
23.06095831,13,refl,0,0,0.2724598529,-6.587077994e-16,1.114262986e-15,-0.09590186623,0.2919690535,0.09444309618
21.413747,14,trans,0,0,0.2934183031,-1.564457872e-15,5.682856605e-16,0.9012202131,0.2893474344,0.8959198103
21.413747,14,refl,0,0,0.2934183031,-9.457940925e-16,1.037966695e-15,-0.1053825481,0.3097246118,0.1070348166
19.98616387,15,trans,0,0,0.3143767533,-1.223884118e-15,1.141014836e-15,0.8845623653,0.3123270652,0.8799987738
19.98616387,15,refl,0,0,0.3143767533,1.076856736e-17,1.340900421e-15,-0.1240237522,0.3319579359,0.1255779623
18.73702863,16,trans,0,0,0.3353352035,-2.62388379e-15,6.743411848e-16,0.8521658633,0.33932861,0.8413305641
18.73702863,16,refl,0,0,0.3353352035,-1.156329784e-15,6.527576843e-16,-0.1626784632,0.3681204991,0.1619769843
17.63485047,17,trans,0,0,0.3562936537,-8.0225705e-16,6.03382646e-16,0.8028224617,0.3692448603,0.7808656718
17.63485047,17,refl,0,0,0.3562936537,2.468462737e-16,5.346227644e-16,-0.2160699914,0.4122557726,0.2166410632
16.65513656,18,trans,0,0,0.377252104,-1.383325509e-15,4.571324962e-16,0.747655132,0.4014597055,0.7201580914
16.65513656,18,refl,0,0,0.377252104,-1.072201862e-15,5.456737887e-16,-0.2666170721,0.4484676803,0.2722079234
15.77855042,19,trans,0,0,0.3982105542,-4.548388285e-16,9.529181302e-17,0.6929074475,0.432099876,0.6668310335
15.77855042,19,refl,0,0,0.3982105542,-5.52578533e-16,2.032809896e-16,-0.311778493,0.4684752762,0.3166749131
14.9896229,20,trans,0,0,0.4191690044,-6.38271263e-16,-6.615520158e-16,0.6285127263,0.4545265241,0.6016226082
14.9896229,20,refl,0,0,0.4191690044,-5.709136091e-16,-9.2227401e-16,-0.3745178201,0.4795462878,0.3702282397
14.27583133,21,trans,0,0,0.4401274546,-1.803949853e-15,7.463607396e-16,0.5184040735,0.4602177164,0.4805431299
14.27583133,21,refl,0,0,0.4401274546,-1.79713771e-15,6.743780812e-16,-0.4810483831,0.4762071639,0.4581808098
13.62692991,22,trans,0,0,0.4610859048,-9.848073586e-16,4.64119613e-17,0.4137924392,0.444845597,0.3691117879
13.62692991,22,refl,0,0,0.4610859048,-9.673861949e-16,-1.43698058e-17,-0.5859074386,0.4592048718,0.5541566408
13.0344547,23,trans,0,0,0.482044355,-1.285907736e-15,-4.90138756e-16,0.2984698498,0.3969151931,0.2466259217
13.0344547,23,refl,0,0,0.482044355,-1.326953334e-15,-4.45065388e-16,-0.701501667,0.4091265896,0.6594891551
12.49135242,24,trans,0,0,0.5030028053,-1.014511958e-15,9.74770396e-17,0.1861767136,0.3044412728,0.1273462573
12.49135242,24,refl,0,0,0.5030028053,-1.111189971e-15,2.310056805e-16,-0.8138309255,0.3151762866,0.761656867
11.99169832,25,trans,0,0,0.5239612555,2.33672797e-16,-4.895939315e-16,0.1017282245,0.1641886895,0.03730655743
11.99169832,25,refl,0,0,0.5239612555,-2.772539078e-17,-3.88807061e-16,-0.8978800947,0.1753661185,0.83694194
11.53047915,26,trans,0,0,0.5449197057,3.579833593e-18,-1.801256802e-16,0.07147140353,-0.00830301249,0.005177101539
11.53047915,26,refl,0,0,0.5449197057,-3.342366917e-16,-3.199963158e-16,-0.927188746,0.005572947073,0.8597100285
11.10342437,27,trans,0,0,0.5658781559,6.70714364e-16,-1.075961598e-16,0.1073429272,-0.1808327593,0.04422299085
11.10342437,27,refl,0,0,0.5658781559,3.501456762e-16,-3.859468964e-16,-0.8897534855,-0.1627907084,0.8181620797
10.7068735,28,trans,0,0,0.5868366061,3.163677806e-16,6.050644638e-16,0.1981628473,-0.3210582768,0.1423469311
10.7068735,28,refl,0,0,0.5868366061,9.110828554e-17,2.218049699e-16,-0.7967736829,-0.2988920962,0.724184787
10.33767097,29,trans,0,0,0.6077950564,2.722175286e-16,1.014261974e-16,0.3175012815,-0.4118253973,0.2704072216
10.33767097,29,refl,0,0,0.6077950564,1.482044818e-16,-1.548942728e-16,-0.6752418558,-0.3870709852,0.6057755115
9.993081933,30,trans,0,0,0.6287535066,-3.12467293e-17,-1.596064574e-16,0.4388938132,-0.4549468259,0.3996043937
9.993081933,30,refl,0,0,0.6287535066,-7.217268356e-17,-2.573925819e-16,-0.5522035027,-0.4304104066,0.4901818265
9.670724452,31,trans,0,0,0.6497119568,-2.514656359e-16,3.102543615e-16,0.5462788897,-0.4633035707,0.513070824
9.670724452,31,refl,0,0,0.6497119568,-2.843481406e-16,2.674920614e-16,-0.4438957089,-0.4417073484,0.392148782
9.368514313,32,trans,0,0,0.670670407,5.119020784e-17,-2.029426266e-16,0.6348080233,-0.4510564267,0.6064331266
9.368514313,32,refl,0,0,0.670670407,1.335394865e-16,-1.54476121e-16,-0.3550537765,-0.4334040307,0.313902238
9.084619939,33,trans,0,0,0.6916288572,-3.410321523e-16,2.349852558e-17,0.706480152,-0.4281445904,0.6824219954
9.084619939,33,refl,0,0,0.6916288572,-2.087257925e-16,1.08946154e-16,-0.2837394379,-0.4130661123,0.2511316818
8.817425235,34,trans,0,0,0.7125873075,-3.050312408e-16,4.56133981e-16,0.7655146426,-0.3998090166,0.7458599178
8.817425235,34,refl,0,0,0.7125873075,-1.433164517e-17,4.413763157e-16,-0.2257492732,-0.3842153723,0.1985841867
