f_THz,lam_um,Re_S11,Im_S11,Re_S21,Im_S21,absS11,absS21,R,T,A
0,inf,3.022494026e-05,-4.85181795e-06,0.999988315,0.0001461545772,3.061187925e-05,0.9999883257,9.370871513e-10,0.9999766515,2.334760723e-05
0.01,29979.2458,1.48530759e-05,0.0004133349945,0.999984765,0.0004601370827,0.000413601779,0.9999848708,1.710664316e-07,0.9999697419,3.008703075e-05
0.035,8565.4988,-1.61559596e-05,0.001464288685,0.9999743649,0.00130865479,0.001464377809,0.9999752212,2.144402368e-06,0.9999504431,4.741254406e-05
0.07,4282.7494,-4.461048523e-05,0.002947465371,0.999955849,0.002626946331,0.002947802946,0.9999592996,8.689542209e-06,0.9999186009,7.270958824e-05
0.105,2855.166267,-5.984380425e-05,0.004442458545,0.9999323556,0.004065653199,0.004442861601,0.9999406209,1.97390192e-05,0.9998812453,9.901572388e-05
0.14,2141.3747,-6.610923501e-05,0.005947198393,0.99990363,0.00559430186,0.005947565817,0.9999192795,3.537353915e-05,0.9998385655,0.0001260609346
0.175,1713.09976,-6.717665313e-05,0.007459768874,0.9998695646,0.007187049682,0.007460071337,0.9998953945,5.565266435e-05,0.9997907999,0.0001535474122
0.21,1427.583133,-6.631600764e-05,0.008978414945,0.9998301769,0.008822365118,0.008978659852,0.9998690998,8.061633275e-05,0.9997382167,0.00018116692
0.245,1223.642686,-6.62955073e-05,0.01050155132,0.9997855823,0.01048267242,0.01050176058,0.9998405358,0.0001102869753,0.9996810971,0.0002086159299
0.28,1070.68735,-6.939340194e-05,0.01202777101,0.9997359654,0.01215397314,0.01202797118,0.9998098417,0.0001446720908,0.9996197196,0.0002356082853
0.315,951.7220889,-7.742173516e-05,0.01355585199,0.9996815515,0.01382545561,0.01355607308,0.999777149,0.0001837671174,0.9995543476,0.0002618853047
0.35,856.54988,-9.176003061e-05,0.01508476094,0.9996225817,0.01548910262,0.01508504002,0.999742576,0.0002275584325,0.9994852182,0.0002872233484
0.385,778.6817091,-0.0001133966135,0.01661365288,0.9995592923,0.017139306,0.01661403987,0.9997062242,0.0002760263209,0.9994125347,0.0003114389756
0.42,713.7915667,-0.0001429751751,0.01814186665,0.9994918978,0.01877249552,0.01814243003,0.9996681751,0.0003291477674,0.9993364604,0.000334391881
0.455,658.8845231,-0.0001808442436,0.0196689159,0.9994205792,0.02038678808,0.01966974727,0.9996284886,0.0003868989575,0.9992571152,0.000355985855
0.49,611.8213429,-0.00022710741,0.02119447618,0.9993454764,0.02198166181,0.02119569292,0.9995872021,0.0004492573984,0.9991745746,0.0003761680337
0.525,571.0332533,-0.0002816724365,0.02271836857,0.9992666843,0.02355765851,0.02272011465,0.999544331,0.0005162036097,0.9990888697,0.0003949267161
0.56,535.343675,-0.0003442977109,0.0242405408,0.9991842524,0.0251161164,0.02424298577,0.9994998697,0.000587722359,0.9989999896,0.0004122880258
0.595,503.8528706,-0.0004146348769,0.02576104672,0.9990981864,0.02665893453,0.02576438337,0.9994537933,0.0006638034502,0.9989078849,0.0004283116867
0.63,475.8610444,-0.000492266822,0.02728002504,0.9990084522,0.02818836893,0.02728446615,0.9994060595,0.000744442093,0.9988124717,0.00044308616
0.665,450.8157263,-0.0005767405389,0.02879767821,0.9989149815,0.02970686002,0.02880345291,0.9993566119,0.0008296388997,0.9987136377,0.0004567233765
0.7,428.27494,-0.0006675946645,0.03031425218,0.9988176775,0.03121689007,0.03032160233,0.9993053823,0.000919399568,0.9986112472,0.0004693532784
0.735,407.8808952,-0.0007643817359,0.03183001785,0.9987164222,0.03272086894,0.03183919464,0.9992522941,0.001013734316,0.9985051473,0.0004811183542
0.77,389.3408545,-0.0008666853957,0.03334525435,0.9986110827,0.03422104614,0.03335651557,0.9991972651,0.001112657131,0.9983951745,0.0004921683378
0.805,372.4129913,-0.0009741329114,0.03486023486,0.9985015178,0.03571944668,0.03487384276,0.9991402103,0.001216184909,0.9982811599,0.0005026552114
0.84,356.8957833,-0.001086403472,0.03637521486,0.9983875841,0.03721782817,0.03639143483,0.9990810452,0.001324336529,0.9981629348,0.0005127286322
0.875,342.619952,-0.00120323278,0.03789042306,0.9982691417,0.03871765656,0.03790952293,0.9990196876,0.001437131929,0.9980403362,0.0005225318788
0.91,329.4422615,-0.00132441448,0.03940605481,0.9981460585,0.04022009763,0.03942830493,0.9989560603,0.00155459123,0.9979132104,0.0005321983882
0.945,317.2406963,-0.001449798973,0.04092226797,0.9980182144,0.04172602175,0.04094794174,0.9988900926,0.001676733933,0.9977814171,0.0005418489309
0.98,305.9106714,-0.001579290145,0.04243918096,0.9978855039,0.04323601913,0.04246855587,0.998821722,0.001803578238,0.9976448323,0.0005515894504
1.015,295.3620276,-0.001712840511,0.04395687274,0.9977478387,0.04475042325,0.04399023169,0.9987508948,0.001935140484,0.9975033499,0.0005615095697
1.05,285.5166267,-0.001850445233,0.04547538449,0.9976051482,0.04626934014,0.04551301728,0.9986775673,0.002071434742,0.9973568835,0.0005716817494
1.085,276.3064129,-0.001992135438,0.04699472258,0.9974573805,0.04779268147,0.04703692756,0.9986017056,0.002212472554,0.9972053664,0.0005821610614
1.12,267.6718375,-0.002137971189,0.04851486262,0.9973045019,0.04932019955,0.04856194823,0.9985232855,0.002358262816,0.9970487517,0.0005929855299
1.155,259.5605697,-0.002288034455,0.05003575426,0.9971464957,0.0508515228,0.05008804055,0.9984422924,0.002508811806,0.9968870112,0.0006041769741
1.19,251.9264353,-0.002442422311,0.05155732643,0.9969833607,0.05238619016,0.05161514637,0.9983587203,0.002664123335,0.9967201344,0.0006157422812
