lam_um,f_THz,side,n1,n2,kz_rad_per_um,Re_S_TE,Im_S_TE,Re_S_TM,Im_S_TM,power
29.9792458,10,trans,0,0,0.2095845022,-9.863935338e-15,-3.935255748e-16,0.7454039984,0.4091951847,0.72306782
29.9792458,10,refl,0,0,0.2095845022,-1.001974312e-14,1.101103316e-15,-0.2481839243,0.4333777606,0.2494115436
27.25385982,11,trans,0,0,0.2305429524,-9.194791247e-15,1.937379711e-15,0.6821351939,0.4485683684,0.6665220039
27.25385982,11,refl,0,0,0.2305429524,-8.510282858e-15,2.478478295e-15,-0.3167413192,0.4794648962,0.33021165
24.98270483,12,trans,0,0,0.2515014026,-9.152894741e-15,3.197638488e-15,0.6360799172,0.4770169332,0.6321428157
24.98270483,12,refl,0,0,0.2515014026,-8.311734489e-15,3.303301724e-15,-0.3697145965,0.4934562833,0.3801879863
23.06095831,13,trans,0,0,0.2724598529,-8.523399979e-15,-1.44964842e-16,0.5842704386,0.4984948217,0.5898690327
23.06095831,13,refl,0,0,0.2724598529,-8.072308385e-15,-2.441943987e-16,-0.4191343643,0.49244189,0.4181726304
21.413747,14,trans,0,0,0.2934183031,-5.039786875e-15,-2.349662121e-15,0.5012332538,0.5084855106,0.5097922891
21.413747,14,refl,0,0,0.2934183031,-5.137707447e-15,-2.683715671e-15,-0.4928205353,0.4972173072,0.4900971306
19.98616387,15,trans,0,0,0.3143767533,-2.423638471e-15,-3.90493931e-15,0.3928793852,0.4906223688,0.3950645201
19.98616387,15,refl,0,0,0.3143767533,-2.695914474e-15,-4.667866101e-15,-0.6004404538,0.4888148929,0.5994687381
18.73702863,16,trans,0,0,0.3353352035,-1.286590391e-17,-1.196083477e-15,0.2962221424,0.4459520386,0.2866207784
18.73702863,16,refl,0,0,0.3353352035,-1.900820018e-16,-2.287283418e-15,-0.703883782,0.4434651486,0.6921137166
17.63485047,17,trans,0,0,0.3562936537,-1.262418331e-15,-2.133760599e-15,0.2184153771,0.3885945188,0.198710977
17.63485047,17,refl,0,0,0.3562936537,-1.060515317e-15,-2.931998333e-15,-0.7816069096,0.3719531457,0.7492585037
16.65513656,18,trans,0,0,0.377252104,-9.310022368e-16,-2.983012534e-15,0.1445322688,0.303889893,0.1132386438
16.65513656,18,refl,0,0,0.377252104,-9.854323272e-16,-3.565034563e-15,-0.8464056252,0.2863891935,0.7984212526
15.77855042,19,trans,0,0,0.3982105542,1.275897222e-15,-8.373168271e-16,0.08384839495,0.1803549924,0.03955847661
15.77855042,19,refl,0,0,0.3982105542,5.703035218e-16,-1.388005588e-15,-0.9026183411,0.1902176141,0.8509026104
14.9896229,20,trans,0,0,0.4191690044,2.078947491e-16,-1.559586568e-15,0.05485528006,0.0427303631,0.004834985681
14.9896229,20,refl,0,0,0.4191690044,-1.018722323e-15,-2.026770529e-15,-0.9364804608,0.0806555174,0.8835009659
14.27583133,21,trans,0,0,0.4401274546,1.446153422e-16,-1.172811449e-15,0.04870166434,-0.08341195357,0.009329406109
14.27583133,21,refl,0,0,0.4401274546,4.294660532e-16,-1.007527268e-15,-0.9477113042,-0.04504608416,0.9001858659
13.62692991,22,trans,0,0,0.4610859048,4.249507675e-16,-4.443860745e-16,0.09009167482,-0.2139620445,0.05389626634
13.62692991,22,refl,0,0,0.4610859048,6.736802798e-16,-2.092743342e-16,-0.9070349212,-0.1731569844,0.8526956895
13.0344547,23,trans,0,0,0.482044355,-7.477582498e-17,-2.717259348e-16,0.1642425002,-0.3235424069,0.131655288
13.0344547,23,refl,0,0,0.482044355,9.526029064e-17,-1.856077338e-16,-0.8338074759,-0.2834588006,0.7755837985
12.49135242,24,trans,0,0,0.5030028053,-5.802487722e-16,6.848142463e-16,0.2597268719,-0.4039302085,0.2306176614
12.49135242,24,refl,0,0,0.5030028053,-4.038950154e-16,7.152734798e-16,-0.7388026416,-0.3670412359,0.6805486122
11.99169832,25,trans,0,0,0.5239612555,1.959982081e-16,-8.122582445e-16,0.3641126371,-0.453715978,0.3384362012
11.99169832,25,refl,0,0,0.5239612555,4.267624404e-16,-7.559609497e-16,-0.6339265413,-0.4207300537,0.5788766378
11.53047915,26,trans,0,0,0.5449197057,-1.61060912e-16,-1.726336579e-16,0.4678789922,-0.4766775101,0.4461322
11.53047915,26,refl,0,0,0.5449197057,1.472142563e-16,-1.318818084e-17,-0.5284946635,-0.4459825826,0.4782070733
11.10342437,27,trans,0,0,0.5658781559,-5.393424114e-16,4.217537895e-16,0.5658695433,-0.4778148747,0.5485153945
11.10342437,27,refl,0,0,0.5658781559,-2.138568217e-16,6.291724085e-16,-0.428034193,-0.4462102937,0.3823168966
10.7068735,28,trans,0,0,0.5868366061,-2.379453715e-16,2.754545432e-16,0.6554343463,-0.4613009061,0.6423927083
10.7068735,28,refl,0,0,0.5868366061,-2.331955891e-17,4.7227609e-16,-0.3361791182,-0.4254519311,0.2940257451
10.33767097,29,trans,0,0,0.6077950564,9.116719375e-17,2.812127427e-16,0.7350457116,-0.4301045502,0.7252821222
10.33767097,29,refl,0,0,0.6077950564,1.335797464e-16,3.448277548e-16,-0.2552712163,-0.3885393785,0.2161262426
9.993081933,30,trans,0,0,0.6287535066,1.264613186e-15,-9.480488561e-17,0.8029519933,-0.3873594514,0.7947792482
9.993081933,30,refl,0,0,0.6287535066,9.208378883e-16,-3.537185811e-16,-0.1874830919,-0.3412031672,0.1515695111
9.670724452,31,trans,0,0,0.6497119568,1.475759035e-15,1.309052521e-16,0.8580733325,-0.3367761279,0.8497080043
9.670724452,31,refl,0,0,0.6497119568,1.199790744e-15,-4.137589137e-16,-0.133540693,-0.2893638277,0.1015645415
9.368514313,32,trans,0,0,0.670670407,5.818118554e-16,3.05210957e-17,0.900921714,-0.2819568315,0.8911595896
9.368514313,32,refl,0,0,0.670670407,2.774010542e-16,-8.013455134e-16,-0.09211963154,-0.2370774034,0.06469172173
9.084619939,33,trans,0,0,0.6916288572,1.22983666e-15,-3.934751703e-16,0.9333085973,-0.2254121605,0.9218755798
9.084619939,33,refl,0,0,0.6916288572,8.841344875e-16,-1.292810836e-15,-0.06065542604,-0.1851212699,0.03794896529
8.817425235,34,trans,0,0,0.7125873075,-1.039466325e-16,4.115038489e-16,0.9574266657,-0.1668799061,0.9445147232
8.817425235,34,refl,0,0,0.7125873075,-2.90092529e-16,-3.511851283e-16,-0.0367443977,-0.1301535541,0.01829009841
