Wavelength (um)	r (um)	gap (um)	w_ring (um)	w (um)
23.5	3.9560345	3.85	0.886259	1.1
19.1	3.77621475	3.675	0.8459745	1.05
18.1	3.686304875	3.5875	0.82583225	1.025
17.3	3.596395	3.5	0.80569	1
16.0	3.41657525	3.325	0.7654055	0.95
14.9	3.2367555	3.15	0.725121	0.9	
14.0	3.05693575	2.975	0.6848365	0.85
13.1	2.877116	2.8	0.644552	0.8
12.3	2.69729625	2.625	0.6042675	0.75
11.6	2.5174765	2.45	0.563983	0.7
10.9	2.33765675	2.275	0.5236985	0.65
10.3	2.157837	2.1	0.483414	0.6
9.7	1.97801725	1.925	0.4431295	0.55
9.2	1.7981975	1.75	0.402845	0.5

		
	


	


